posted_date,current_price,original_price,changes_in_price,price,price_per_m2,times_in_sales
19-06-2018, 270.000, 270.000,-, 270.000, 6.136,11 dagen
08-06-2018, 199.500, 199.500,-, 199.500, 2.771,22 dagen
23-06-2018, 865.000, 865.000,-, 865.000, 6.314,7 dagen
30-03-2018, 1.500.000, 1.500.000,-, 1.500.000, 8.475,3 maanden
25-05-2018, 425.000, 425.000,-, 425.000, 4.087,1 maand
21-06-2018, 450.000, 450.000,-, 450.000, 6.429,9 dagen
22-06-2018, 274.011, 274.011,-, 274.011, 4.644,8 dagen
18-05-2018, 1.675.000, 1.675.000,-, 1.675.000, 5.154,1 maand
02-06-2018, 479.000, 484.000," -5.000 / -1,0%", 479.000, 4.888,28 dagen
07-06-2018, 300.000, 300.000,-, 300.000, 3.659,23 dagen
20-06-2018, 225.000, 225.000,-, 225.000, 3.000,10 dagen
27-05-2018, 275.000, 275.000,-, 275.000, 3.618,1 maand
25-06-2018, 265.000, 265.000,-, 265.000, 5.300,5 dagen
15-06-2018, 590.000, 590.000,-, 590.000, 4.436,15 dagen
30-06-2018, 285.000, 285.000,-, 285.000, 5.700,Nieuw
23-05-2018, 240.000, 240.000,-, 240.000, 3.000,1 maand
24-05-2018, 275.000, 275.000,-, 275.000, 3.198,1 maand
31-05-2018, 1.595.000, 1.595.000,-, 1.595.000, 8.439,1 maand
05-06-2018, 1.445.000, 1.445.000,-, 1.445.000, 9.146,25 dagen
20-06-2018, 225.000, 225.000,-, 225.000, 2.647,10 dagen
13-06-2018, 375.000, 375.000,-,,,
19-04-2018, 250.000, 250.000,-, 250.000, 2.841,2 maanden
15-06-2018, 369.000, 369.000,-, 369.000, 6.150,15 dagen
12-06-2018, 400.000, 400.000,-, 400.000, 5.333,18 dagen
07-06-2018, 875.000, 875.000,-, 875.000, 7.000,23 dagen
01-06-2018, 495.000, 495.000,-, 495.000, 6.266,29 dagen
02-06-2018, 670.000, 670.000,-, 670.000, 4.497,28 dagen
01-06-2018, 335.000, 335.000,-, 335.000, 3.681,29 dagen
20-06-2018, 230.000, 230.000,-, 230.000, 2.614,10 dagen
12-04-2018, 550.000, 550.000,-, 550.000, 2.778,2 maanden
01-06-2018, 274.511, 274.511,-, 274.511, 3.307,29 dagen
21-06-2018, 270.000, 270.000,-, 270.000, 5.625,9 dagen
26-02-2018, 290.000, 300.000," -10.000 / -3,3%", 290.000, 3.718,4 maanden
28-06-2018, 900.000, 900.000,-, 900.000, 5.556,Nieuw
30-06-2018, 244.500, 244.500,-, 244.500, 3.056,Nieuw
29-06-2018, 975.000, 975.000,-, 975.000, 4.295,Nieuw
26-06-2018, 495.000, 495.000,-, 495.000, 3.462,4 dagen
21-04-2018, 595.000, 595.000,-, 595.000, 6.134,2 maanden
15-06-2018, 400.000, 400.000,-, 400.000, 4.706,15 dagen
29-06-2018, 280.500, 280.500,-, 280.500, 2.621,Nieuw
29-06-2018, 858.540, 858.540,-, 858.540, 3.833,Nieuw
29-06-2018, 350.000, 350.000,-, 350.000, 8.333,Nieuw
16-05-2018, 375.000, 375.000,-, 375.000, 6.466,1 maand
29-06-2018, 895.000, 895.000,-, 895.000, 3.482,Nieuw
30-06-2018, 325.000, 325.000,-, 325.000, 5.508,Nieuw
29-05-2018, 1.295.000, 1.295.000,-, 1.295.000, 6.167,1 maand
14-06-2018, 799.011, 799.011,-, 799.011, 6.194,16 dagen
19-06-2018, 500.000, 500.000,-, 500.000, 4.808,11 dagen
23-06-2018, 470.000, 470.000,-,,,
29-05-2018, 1.095.000, 1.095.000,-, 1.095.000, 8.233,1 maand
09-05-2018, 525.000, 525.000,-, 525.000, 5.250,1 maand
19-01-2018, 519.000, 585.000," -66.000 / -11,3%", 519.000, 7.110,5 maanden
14-05-2018, 585.000, 585.000,-, 585.000, 5.625,1 maand
20-06-2018, 1.700.000, 1.700.000,-, 1.700.000, 9.884,10 dagen
12-06-2018, 375.000, 375.000,-, 375.000, 7.075,18 dagen
