Type,Construction_year,Living_area,LOT,Plot,Other,Insulation,Heating,Energy_label,Energy_consumption,inside_maintenance_state,Rooms,Bedrooms,Sanitation,kitchen,outside_maintenace_state,outside_state_painting,Graden,view,Balcony,Garage,number_of_times_shown,number_of_times_shown_yesterday
Appartement,1978,132 m²,500 m³,-,Lift,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,80,0
Vrijstaande woning,1923,113 m²,368 m³,88 m²,-,-,Openhaard,-,-,-,4,3,-,-,-,-,Ja,-,-,-,928,4
Benedenwoning,1920,145 m²,-,97 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,248,1
Bovenwoning,1005,81 m²,167 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,41,3
Bovenwoning,1934,90 m²,210 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,0,0
Woning,2018,152 m²,-,1 m²,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,0,0
Appartement,1936,48 m²,139 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,0,0
Boerderij,1880,54 m²,156 m³,33 m²,-,-,-,-,-,-,5,3,-,-,-,-,-,-,-,-,148,0
Herenhuis,1830,313 m²,1.038 m³,-,-,-,-,-,-,-,14,3,-,-,-,-,-,-,-,-,2.274,1
Appartement,2011,102 m²,338 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,-,Ja,259,22
Appartement,1999,104 m²,291 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,238,13
Herenhuis,2008,146 m²,494 m³,183 m²,-,DubbelglasMuurDak,StadsverwarmingVloerverwarming,-,-,-,5,3,Bad2e toilet,-,Uitstekend,Uitstekend,-,-,-,Ja,403,6
Bovenwoning,1999,110 m²,338 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,Ja,128,3
Bovenwoning,1886,61 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,39,10
Benedenwoning,1928,74 m²,240 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,165,3
Appartement,1990,84 m²,275 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,0,0
Hoekwoning,1939,110 m²,352 m³,-,-,-,-,-,-,-,7,5,-,-,-,-,-,-,Ja,-,87,3
Appartement,1966,86 m²,265 m³,-,Lift,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,366,22
