treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,café,videotheek,(huis)arts,tandarts,fitnesscentrum,bibliotheek
"['Amsterdam Zuid', '1,6 kilometer', 'Buitenveldert-West']","['Europaboulevard Shell Station', '1,4 kilometer', 'Buitenveldert-West']","[""Myrthe's Delight BV"", '595 meter', 'Buitenveldert-West']","['KBA Nw West Stichting', '317 meter', 'Buitenveldert-West']","['Kinderopvang Mirakel', '217 meter', 'Buitenveldert-West']","['Stichting Ceder Groep', '202 meter', 'Buitenveldert-West']","['Café de Ouwe Garde', '742 meter', 'Buitenveldert-West']","['Filmclub Buitenveldert', '672 meter', 'Buitenveldert-West']","['Haan Huisarts J H den', '178 meter', 'Buitenveldert-West']","['Tandpiek', '7 meter', 'Buitenveldert-West']","['VU Sportcentrum', '479 meter', 'Buitenveldert-West']","['Praktizijns Sociëteit Bibliotheek', '1,8 kilometer', 'Buitenveldert-West']"
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Zuid', '1,8 kilometer', 'Museumkwartier']","['Hobbemakade Shell Station', '1,2 kilometer', 'Museumkwartier']","['Organic Food For You', '52 meter', 'Museumkwartier']","['2e Dalton Basisschool', '439 meter', 'Museumkwartier']","['Partou', '141 meter', 'Museumkwartier']","['Joke Smit College Vavo (ROC Van Amsterdam)', '544 meter', 'Museumkwartier']","['Hendriks II', '153 meter', 'Museumkwartier']","['Filmclub Videotheek Overtoom', '976 meter', 'Museumkwartier']","['Nijhof huisarts R', '314 meter', 'Museumkwartier']","['EviDental', '106 meter', 'Museumkwartier']","['Urban Wellness Concepts BV', '375 meter', 'Museumkwartier']","['Praktizijns Sociëteit Bibliotheek', '1,6 kilometer', 'Museumkwartier']"
"['Amsterdam Centraal', '1,7 kilometer', 'Houthavens']","['BP Nieuwe Hemweg', '1,7 kilometer', 'Houthavens']","['Marqt BV', '359 meter', 'Houthavens']","['Alles in 1 school De Zeeheld', '391 meter', 'Houthavens']","['Onoja Kinderopvang M A', '408 meter', 'Houthavens']","['Eilanden De', '634 meter', 'Houthavens']","['Casco Amsterdam B.V.', '923 meter', 'Houthavens']","['Videoplaza/Video International', '1,4 kilometer', 'Houthavens']","['A.L.L. huisarts', '380 meter', 'Houthavens']","['Tandartspraktijk Houtrak', '354 meter', 'Houthavens']","['Selsa', '998 meter', 'Houthavens']","['Bibliotheca Philosophica Hermetica', '2,1 kilometer', 'Houthavens']"
,,,,,,,,,,,
"['Amsterdam Zuid', '1,8 kilometer', 'Willemspark']","['BP Commandeur', '563 meter', 'Willemspark']","['Albert Heijn Supermarkt', '341 meter', 'Willemspark']","['Geert Groote School 1 Vrije School voor Basisonderwijs', '656 meter', 'Willemspark']","['Kinderdagverblijf Klein & Co BV', '359 meter', 'Willemspark']","['Amsterdams Lyceum Het', '369 meter', 'Willemspark']","['Bedier Café', '293 meter', 'Willemspark']","['Lucky Star Videotheek', '321 meter', 'Willemspark']","['Neut Huisartsenpraktijk H W vd', '94 meter', 'Willemspark']","['Tandartspraktijk Koninginneweg', '70 meter', 'Willemspark']","['IFit Health Station', '449 meter', 'Willemspark']","['Praktizijns Sociëteit Bibliotheek', '1,5 kilometer', 'Willemspark']"
"['Amsterdam Centraal', '2,1 kilometer', 'Staatsliedenbuurt']","['Esso Station FCA', '973 meter', 'Staatsliedenbuurt']","['Bijkerk De Zuivelshop J', '172 meter', 'Staatsliedenbuurt']","['Bron Rooms Katholieke Basisschool De', '302 meter', 'Staatsliedenbuurt']","['Kinderdagverblijf Ko', '186 meter', 'Staatsliedenbuurt']","['Maria Nguyen', '65 meter', 'Staatsliedenbuurt']","[""C'est La Vie Café"", '193 meter', 'Staatsliedenbuurt']","['Platebank BV', '310 meter', 'Staatsliedenbuurt']","['Bevers Huisartsenpraktijk', '248 meter', 'Staatsliedenbuurt']","['Parodontologie en Implantologie Praktijk Amsterdam', '268 meter', 'Staatsliedenbuurt']","['Selsa', '726 meter', 'Staatsliedenbuurt']","['Bibliotheca Philosophica Hermetica', '1,3 kilometer', 'Staatsliedenbuurt']"
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Lelylaan', '2,3 kilometer', 'Sloten- en Riekerpolder']","['BP Oude Haagseweg', '765 meter', 'Sloten- en Riekerpolder']","['Supermarkt Karadeniz', '1,4 kilometer', 'Sloten- en Riekerpolder']","['Mijlpaal Katholieke Basisschool De', '191 meter', 'Sloten- en Riekerpolder']","['Groeiland Het Kinderdagverblijf', '368 meter', 'Sloten- en Riekerpolder']","['Calandlyceum', '1,2 kilometer', 'Sloten- en Riekerpolder']","[""Calandje Café 't"", '1,2 kilometer', 'Sloten- en Riekerpolder']","['Filmclub Videotheek Osdorp', '1,8 kilometer', 'Sloten- en Riekerpolder']","['Gezondheidscentrum Vlaanderen SAG', '270 meter', 'Sloten- en Riekerpolder']","['Smidt G G de', '300 meter', 'Sloten- en Riekerpolder']","['Slender You Nieuw Sloten', '193 meter', 'Sloten- en Riekerpolder']","['Praktizijns Sociëteit Bibliotheek', '3,9 kilometer', 'Sloten- en Riekerpolder']"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Amstel', '1,6 kilometer', 'Oude Pijp']","['Total De Pijp', '1,1 kilometer', 'Oude Pijp']","['Poolse Supermarkt en Zo - Poolse Etenswaren', '561 meter', 'Oude Pijp']","['Basisschool De Springstok', '175 meter', 'Oude Pijp']","['Hoepel BSO De', '175 meter', 'Oude Pijp']","['IVKO School', '444 meter', 'Oude Pijp']","['Bloemers Drink- en Eetcafé', '209 meter', 'Oude Pijp']","[""Ram's Filmclub"", '277 meter', 'Oude Pijp']","['Fesoca', '219 meter', 'Oude Pijp']","['Davidson Tandartspraktijk', '120 meter', 'Oude Pijp']","['SODA Bodyfit', '544 meter', 'Oude Pijp']","['Theosofische Bibliotheek', '569 meter', 'Oude Pijp']"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Zuid', '1,3 kilometer', 'Apollobuurt']","['Hobbemakade Shell Station', '722 meter', 'Apollobuurt']","['Organic Food For You', '611 meter', 'Apollobuurt']","['Openluchtschool 1e', '175 meter', 'Apollobuurt']","['Kinderdagverblijf De Liefste', '526 meter', 'Apollobuurt']","['Sint Ignatius Gymnasium', '67 meter', 'Apollobuurt']","['King Arthur', '514 meter', 'Apollobuurt']","['Filmclub Videotheek Cinemagic', '1,1 kilometer', 'Apollobuurt']","['Postema en Kolthof Huisartsenpraktijk', '400 meter', 'Apollobuurt']","['Schijndel Tandarts M J T van', '11 meter', 'Apollobuurt']","['Personal Healthclub', '208 meter', 'Apollobuurt']","['Praktizijns Sociëteit Bibliotheek', '1,1 kilometer', 'Apollobuurt']"
,,,,,,,,,,,
"['Amsterdam Zuid', '2,2 kilometer', 'Museumkwartier']","['Hobbemakade Shell Station', '1,1 kilometer', 'Museumkwartier']","['British General Stores', '547 meter', 'Museumkwartier']","['Schreuder Instituut', '186 meter', 'Museumkwartier']","['Willem Sparkje Kinderdagverblijf', '96 meter', 'Museumkwartier']","['Barlaeusgymnasium', '649 meter', 'Museumkwartier']","['Gruter Café', '223 meter', 'Museumkwartier']","['Filmclub Cinemagic', '1,2 kilometer', 'Museumkwartier']","['Nijhof huisarts R', '377 meter', 'Museumkwartier']","['Welsenes Dr W van Tandartspraktijk', '119 meter', 'Museumkwartier']","['Body Desk Fit-Center', '66 meter', 'Museumkwartier']","['Boekmanstichting Bibliotheek', '1,2 kilometer', 'Museumkwartier']"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Centraal', '1,0 kilometer', 'Nieuwmarkt en Lastage']","['Texaco Bem BV Selfservice', '2,2 kilometer', 'Nieuwmarkt en Lastage']","['China Town Supermarkt', '666 meter', 'Nieuwmarkt en Lastage']","['Witte Olifant Openbare Basisschool De', '348 meter', 'Nieuwmarkt en Lastage']","['Stampertjes De', '42 meter', 'Nieuwmarkt en Lastage']","['Metis Montessori Lyceum', '1,2 kilometer', 'Nieuwmarkt en Lastage']","['Druif Café De', '130 meter', 'Nieuwmarkt en Lastage']","['Weng Joeng Hong', '709 meter', 'Nieuwmarkt en Lastage']","['Huisarts mw B G M Grooff', '419 meter', 'Nieuwmarkt en Lastage']","['Aesculapius Tandartsen', '172 meter', 'Nieuwmarkt en Lastage']","['Fit For Free Amsterdam', '124 meter', 'Nieuwmarkt en Lastage']","['Openbare Bibliotheek Amsterdam', '534 meter', 'Nieuwmarkt en Lastage']"
,,,,,,,,,,,
"['Amsterdam Sloterdijk', '1,4 kilometer', 'Slotermeer-Noordoost']","['Total Selfservicestation Vlughtlaan', '362 meter', 'Slotermeer-Noordoost']","['Helal Et Gida West BV', '39 meter', 'Slotermeer-Noordoost']","['Veerkracht - Gereformeerde Basisschool', '275 meter', 'Slotermeer-Noordoost']","['PVO Burgemeester De Vlugt', '284 meter', 'Slotermeer-Noordoost']","['Wissel De', '796 meter', 'Slotermeer-Noordoost']","['Café Petit Restaurant Zomerlust', '90 meter', 'Slotermeer-Noordoost']","['Tetauni Videotheek', '2,2 kilometer', 'Slotermeer-Noordoost']","['Mulder D E', '185 meter', 'Slotermeer-Noordoost']","['Marit Klingler', '604 meter', 'Slotermeer-Noordoost']","['Healthcenter Sloterpark', '1,2 kilometer', 'Slotermeer-Noordoost']","['Bibliotheca Philosophica Hermetica', '4,1 kilometer', 'Slotermeer-Noordoost']"
,,,,,,,,,,,
"['Amsterdam Zuid', '1,7 kilometer', 'Museumkwartier']","['Hobbemakade Shell Station', '676 meter', 'Museumkwartier']","['Organic Food For You', '494 meter', 'Museumkwartier']","['Montessorischool De Wielewaal 1e', '485 meter', 'Museumkwartier']","['Zorg voor Kind en Huis', '181 meter', 'Museumkwartier']","['Joke Smit College Vavo (ROC Van Amsterdam)', '219 meter', 'Museumkwartier']","['Welling Café', '262 meter', 'Museumkwartier']","['Filmclub Cinemagic', '940 meter', 'Museumkwartier']","['Huisartsenpraktijk De Lairesse Klaren Acherman Woertman', '194 meter', 'Museumkwartier']","['Tandarts M. Jansen', '102 meter', 'Museumkwartier']","['Urban Wellness Concepts BV', '229 meter', 'Museumkwartier']","['Praktizijns Sociëteit Bibliotheek', '1,6 kilometer', 'Museumkwartier']"
"['Diemen', '2,3 kilometer', 'IJburg West']","['Shell Station Kriterion', '2,0 kilometer', 'IJburg West']","['Multi Tokorien IJburg', '1,1 kilometer', 'IJburg West']","['Daltonschool Neptunes', '263 meter', 'IJburg West']","['Gastouder Rachael', '146 meter', 'IJburg West']","['LUCA Praktijkschool', '3,4 kilometer', 'IJburg West']","['Café Blond B.V.', '1,2 kilometer', 'IJburg West']","['Movie Max Goldmovie Videotheek', '4,0 kilometer', 'IJburg West']","['Gezondheidscentrum Haveneiland SAG', '151 meter', 'IJburg West']","['Ilona Hantos', '95 meter', 'IJburg West']","['Fitamsterdam', '228 meter', 'IJburg West']","['Internationaal Instituut voor Sociale Geschiedenis', '3,9 kilometer', 'IJburg West']"
,,,,,,,,,,,
"['Amsterdam Centraal', '2,0 kilometer', 'Staatsliedenbuurt']","['Esso Station FCA', '690 meter', 'Staatsliedenbuurt']","['Bijkerk De Zuivelshop J', '397 meter', 'Staatsliedenbuurt']","['Bron Rooms Katholieke Basisschool De', '218 meter', 'Staatsliedenbuurt']","['NSO Dyesro', '218 meter', 'Staatsliedenbuurt']","['Maria Nguyen', '336 meter', 'Staatsliedenbuurt']","['Café Sting The', '22 meter', 'Staatsliedenbuurt']","['Platebank BV', '157 meter', 'Staatsliedenbuurt']","['Gezondheidscentrum Staatsliedenbuurt SAG', '180 meter', 'Staatsliedenbuurt']","['Parodontologie en Implantologie Praktijk Amsterdam', '473 meter', 'Staatsliedenbuurt']","['Fitness Centrum Leidsegracht BV', '830 meter', 'Staatsliedenbuurt']","['Bibliotheca Philosophica Hermetica', '1,1 kilometer', 'Staatsliedenbuurt']"
"['Amsterdam Sloterdijk', '3,2 kilometer', 'Geuzenveld']","['Autorette BP Sloterplas', '2,2 kilometer', 'Geuzenveld']","['Sefa Market', '431 meter', 'Geuzenveld']","['Goeman Borgesiusschool', '136 meter', 'Geuzenveld']","['PVO Goeman Borgesius 1', '136 meter', 'Geuzenveld']","['Wissel De', '2,4 kilometer', 'Geuzenveld']","[""Sanny's Place Café"", '517 meter', 'Geuzenveld']","['Filmclub Videotheek Osdorp', '3,1 kilometer', 'Geuzenveld']","['Busser W Huisartsenpraktijk R Runhert & J Leeuw', '403 meter', 'Geuzenveld']","['Tandartsenpraktijk Fallah', '618 meter', 'Geuzenveld']","[""Doel Lady's Only Fitnesscentrum Het"", '537 meter', 'Geuzenveld']","['Bibliotheca Philosophica Hermetica', '5,9 kilometer', 'Geuzenveld']"
"['Amsterdam Amstel', '1,6 kilometer', 'Nieuwe Pijp']","['Total De Pijp', '429 meter', 'Nieuwe Pijp']","['Poolse Supermarkt en Zo - Poolse Etenswaren', '442 meter', 'Nieuwe Pijp']","['Derde Dalton', '66 meter', 'Nieuwe Pijp']","['Doodoo Kinderdagverblijf', '134 meter', 'Nieuwe Pijp']","['Montessori Lyceum Amsterdam', '315 meter', 'Nieuwe Pijp']","['Sarphaat Café', '139 meter', 'Nieuwe Pijp']","['Filmclub Cinemagic', '377 meter', 'Nieuwe Pijp']","['Leloup A E J M', '177 meter', 'Nieuwe Pijp']","['Carolien Vinkenborg', '286 meter', 'Nieuwe Pijp']","['Your Future Fitness Center', '125 meter', 'Nieuwe Pijp']","['Theosofische Bibliotheek', '632 meter', 'Nieuwe Pijp']"
"['Amsterdam Centraal', '375 meter', 'Nieuwmarkt en Lastage']","['Texaco Bem BV Selfservice', '1,9 kilometer', 'Nieuwmarkt en Lastage']","['Best Souvenirs VOF', '56 meter', 'Nieuwmarkt en Lastage']","['Basisschool Sint Antonius', '258 meter', 'Nieuwmarkt en Lastage']","['Prinses Juliana Kinderdagverblijf IJsterk', '312 meter', 'Nieuwmarkt en Lastage']","['Amsterdamsche School De', '639 meter', 'Nieuwmarkt en Lastage']","['Eetcafe Sabroso', '58 meter', 'Nieuwmarkt en Lastage']","['Weng Joeng Hong', '157 meter', 'Nieuwmarkt en Lastage']","['Bruijne C de', '153 meter', 'Nieuwmarkt en Lastage']","['R.J. de Jong, tandarts', '89 meter', 'Nieuwmarkt en Lastage']","['Barbizon Palace Health Club', '210 meter', 'Nieuwmarkt en Lastage']","['IHLIA LGBT heritage', '380 meter', 'Nieuwmarkt en Lastage']"
"['Amsterdam Centraal', '1,4 kilometer', 'Jordaan']","['Texaco Bem BV Selfservice', '507 meter', 'Jordaan']","['Roos Market', '170 meter', 'Jordaan']","['Rijk Kramer Oecumenische Basisschool Dr', '364 meter', 'Jordaan']","[""Klaproosje Kinderdagverblijf 't"", '174 meter', 'Jordaan']","['Samenwerkingsverband 28 2', '331 meter', 'Jordaan']","['Chris Café', '97 meter', 'Jordaan']","['Platebank BV', '994 meter', 'Jordaan']","['Cambridge Medical GP Physician Medical Doctor', '77 meter', 'Jordaan']","['Rozengracht Tandartsenpraktijk', '72 meter', 'Jordaan']","['Bodyengineering', '113 meter', 'Jordaan']","['Bibliotheca Philosophica Hermetica', '141 meter', 'Jordaan']"
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Centraal', '2,4 kilometer', 'Helmersbuurt']","['Texaco Bem BV Selfservice', '766 meter', 'Helmersbuurt']","['British General Stores', '22 meter', 'Helmersbuurt']","['Cornelis Vrijschool', '496 meter', 'Helmersbuurt']","['Klavertje 4 Kinderdagverblijf', '65 meter', 'Helmersbuurt']","['Barlaeusgymnasium', '616 meter', 'Helmersbuurt']","['Zouk Café', '88 meter', 'Helmersbuurt']","['Asian Music Palace', '953 meter', 'Helmersbuurt']","['Bossen Huisartsenpraktijk P C', '113 meter', 'Helmersbuurt']","['Franssen Tandarts C M E E', '56 meter', 'Helmersbuurt']","['Amsterdam Fitness en Health Club', '293 meter', 'Helmersbuurt']","['Boekmanstichting Bibliotheek', '957 meter', 'Helmersbuurt']"
"['Amsterdam Centraal', '3,0 kilometer', 'Buikslotermeer']","['Total Selfservicestation Kadoelen', '2,7 kilometer', 'Buikslotermeer']","['C 1000 Voordeelmarkt', '444 meter', 'Buikslotermeer']","['Buikslotermeerschool', '181 meter', 'Buikslotermeer']","['Vrije BSO BV', '181 meter', 'Buikslotermeer']","['Clusius College', '352 meter', 'Buikslotermeer']","['Rosa Café La', '491 meter', 'Buikslotermeer']","['Weng Joeng Hong', '3,2 kilometer', 'Buikslotermeer']","['Buijs L', '364 meter', 'Buikslotermeer']","['Tandartspraktijk Amsterdam Noord', '484 meter', 'Buikslotermeer']","['Temple Fitness World The', '1,6 kilometer', 'Buikslotermeer']","['Openbare Bibliotheek Amsterdam', '2,8 kilometer', 'Buikslotermeer']"
,,,,,,,,,,,
"['Amsterdam Centraal', '3,6 kilometer', 'Banne Buiksloot']","['Total Selfservicestation Kadoelen', '887 meter', 'Banne Buiksloot']","['Banne Market VOF', '459 meter', 'Banne Buiksloot']","['Driemaster Basisschool De', '354 meter', 'Banne Buiksloot']","['Banne Banjers Gastouder De', '139 meter', 'Banne Buiksloot']","['Bredero Mavo', '1,3 kilometer', 'Banne Buiksloot']","['Kadoelen Café Koffiehuis', '602 meter', 'Banne Buiksloot']","['Eurocorner', '1,8 kilometer', 'Banne Buiksloot']","['Huisartsenpraktijk Kadoelerbreek', '229 meter', 'Banne Buiksloot']","['Behnam Rafal', '383 meter', 'Banne Buiksloot']","['Play-Fit', '1,7 kilometer', 'Banne Buiksloot']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '2,3 kilometer', 'Banne Buiksloot']"
"['Diemen', '2,6 kilometer', 'IJburg West']","['Shell Station Kriterion', '1,4 kilometer', 'IJburg West']","['Multi Tokorien IJburg', '1,8 kilometer', 'IJburg West']","['Abbs-de Zuiderzee', '169 meter', 'IJburg West']","['KinderVilla ijburg steigereiland bv', '221 meter', 'IJburg West']","['LUCA Praktijkschool', '3,0 kilometer', 'IJburg West']","['Café Blond B.V.', '692 meter', 'IJburg West']","['Movie Max Goldmovie Videotheek', '3,6 kilometer', 'IJburg West']","['Gezondheidscentrum Steigereiland SAG', '548 meter', 'IJburg West']","['Mondzorgcentrum IJburg', '461 meter', 'IJburg West']","['Fitamsterdam', '594 meter', 'IJburg West']","['Internationaal Instituut voor Sociale Geschiedenis', '3,4 kilometer', 'IJburg West']"
"['Amsterdam Zuid', '1,8 kilometer', 'Museumkwartier']","['Hobbemakade Shell Station', '1,1 kilometer', 'Museumkwartier']","['Organic Food For You', '34 meter', 'Museumkwartier']","['2e Dalton Basisschool', '378 meter', 'Museumkwartier']","['Bengeltjes NV', '92 meter', 'Museumkwartier']","['Joke Smit College Vavo (ROC Van Amsterdam)', '482 meter', 'Museumkwartier']","['King Arthur', '96 meter', 'Museumkwartier']","['Filmclub Videotheek Overtoom', '1,0 kilometer', 'Museumkwartier']","['Nijhof huisarts R', '288 meter', 'Museumkwartier']","['EviDental', '157 meter', 'Museumkwartier']","['Urban Wellness Concepts BV', '351 meter', 'Museumkwartier']","['Praktizijns Sociëteit Bibliotheek', '1,6 kilometer', 'Museumkwartier']"
"['Amsterdam Lelylaan', '3,2 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Demarol Badhoevedrop', '1,1 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Oz Derya BV', '381 meter', 'Middelveldsche Akerpolder en Sloten']","['Horizon Openbare Dalton Basisschool De', '16 meter', 'Middelveldsche Akerpolder en Sloten']","['Peuterspeelzaal Boris Beer', '359 meter', 'Middelveldsche Akerpolder en Sloten']","['Calandlyceum', '1,3 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Silvestre Benelux BV Café', '864 meter', 'Middelveldsche Akerpolder en Sloten']","['Filmclub Videotheek Osdorp', '174 meter', 'Middelveldsche Akerpolder en Sloten']","['Gezondheidscentrum De Vaart SAG', '173 meter', 'Middelveldsche Akerpolder en Sloten']","['Barends Tandartspraktijk M', '126 meter', 'Middelveldsche Akerpolder en Sloten']","['Friends 4 Life BV Fitnessclub', '1,3 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Praktizijns Sociëteit Bibliotheek', '5,5 kilometer', 'Middelveldsche Akerpolder en Sloten']"
"['Amsterdam Sloterdijk', '3,3 kilometer', 'Eendracht']","['Total Selfservicestation Vlughtlaan', '2,5 kilometer', 'Eendracht']","['Sefa Market', '694 meter', 'Eendracht']","['Goeman Borgesiusschool', '754 meter', 'Eendracht']","['Caroline Drisdale', '236 meter', 'Eendracht']","['Wissel De', '2,8 kilometer', 'Eendracht']","[""Sanny's Place Café"", '1,0 kilometer', 'Eendracht']","['Filmclub Videotheek Zwanenburg', '2,8 kilometer', 'Eendracht']","['Busser W Huisartsenpraktijk R Runhert & J Leeuw', '754 meter', 'Eendracht']","['Tandartsenpraktijk Fallah', '1,1 kilometer', 'Eendracht']","[""Doel Lady's Only Fitnesscentrum Het"", '1,1 kilometer', 'Eendracht']","['Bibliotheca Philosophica Hermetica', '6,3 kilometer', 'Eendracht']"
"['Amsterdam Centraal', '2,8 kilometer', 'Buikslotermeer']","['Total Selfservicestation Kadoelen', '2,9 kilometer', 'Buikslotermeer']","['C 1000 Voordeelmarkt', '663 meter', 'Buikslotermeer']","['Wespennest Katholieke Jenaplan Basisschool De', '370 meter', 'Buikslotermeer']","['Kresje Thuis', '181 meter', 'Buikslotermeer']","['Clusius College', '399 meter', 'Buikslotermeer']","[""Sluisje Café 't"", '477 meter', 'Buikslotermeer']","['Weng Joeng Hong', '3,0 kilometer', 'Buikslotermeer']","['Buijs L', '549 meter', 'Buikslotermeer']","['Tandheelkundig Centrum Amsterdam Noord', '646 meter', 'Buikslotermeer']","['Temple Fitness World The', '1,6 kilometer', 'Buikslotermeer']","['Toonkunst-Bibliotheek', '2,6 kilometer', 'Buikslotermeer']"
,,,,,,,,,,,
"['Amsterdam Centraal', '1,5 kilometer', 'Houthavens']","['BP Nieuwe Hemweg', '1,8 kilometer', 'Houthavens']","['Marqt BV', '172 meter', 'Houthavens']","['Alles in 1 school De Zeeheld', '315 meter', 'Houthavens']","['Onoja Kinderopvang M A', '228 meter', 'Houthavens']","['Eilanden De', '453 meter', 'Houthavens']","[""Blaauwhooft Café 't"", '802 meter', 'Houthavens']","['Videoplaza/Video International', '1,3 kilometer', 'Houthavens']","['A.L.L. huisarts', '233 meter', 'Houthavens']","['Tandartspraktijk Houtrak', '177 meter', 'Houthavens']","['Selsa', '1,0 kilometer', 'Houthavens']","['Bibliotheca Philosophica Hermetica', '1,9 kilometer', 'Houthavens']"
"['Amsterdam Zuid', '1,9 kilometer', 'Museumkwartier']","['Hobbemakade Shell Station', '589 meter', 'Museumkwartier']","['Superstar Market', '559 meter', 'Museumkwartier']","['KunstKrul', '530 meter', 'Museumkwartier']","['KDV De Hoogvlieger', '61 meter', 'Museumkwartier']","['Montessori Lyceum Amsterdam (mavo)', '66 meter', 'Museumkwartier']","['Loetje Café', '45 meter', 'Museumkwartier']","['Filmclub Cinemagic', '595 meter', 'Museumkwartier']","['Schulte M', '121 meter', 'Museumkwartier']","['Kliniek voor Cosmetische Tandheelkunde Amsterdam Zuid', '223 meter', 'Museumkwartier']","['Urban Wellness Concepts BV', '573 meter', 'Museumkwartier']","['Boekmanstichting Bibliotheek', '1,4 kilometer', 'Museumkwartier']"
,,,,,,,,,,,
"['Amsterdam Centraal', '1,7 kilometer', 'Houthavens']","['BP Nieuwe Hemweg', '1,7 kilometer', 'Houthavens']","['Marqt BV', '359 meter', 'Houthavens']","['Alles in 1 school De Zeeheld', '391 meter', 'Houthavens']","['Onoja Kinderopvang M A', '408 meter', 'Houthavens']","['Eilanden De', '634 meter', 'Houthavens']","['Casco Amsterdam B.V.', '923 meter', 'Houthavens']","['Videoplaza/Video International', '1,4 kilometer', 'Houthavens']","['A.L.L. huisarts', '380 meter', 'Houthavens']","['Tandartspraktijk Houtrak', '354 meter', 'Houthavens']","['Selsa', '998 meter', 'Houthavens']","['Bibliotheca Philosophica Hermetica', '2,1 kilometer', 'Houthavens']"
"['Amsterdam Muiderpoort', '574 meter', 'Indische Buurt West']","['Mobil Station Zeist', '2,1 kilometer', 'Indische Buurt West']","['Mansoor Ahmadi', '54 meter', 'Indische Buurt West']","['JP Coen Openbare Basisschool', '305 meter', 'Indische Buurt West']","['Oppascentrale Kinderdagverblijf Kriterion', '107 meter', 'Indische Buurt West']","['LUCA Praktijkschool', '541 meter', 'Indische Buurt West']","['Pleinzicht Café', '123 meter', 'Indische Buurt West']","['Movie MAX Moviestores', '186 meter', 'Indische Buurt West']","['Staal Huisarts M', '347 meter', 'Indische Buurt West']","['Westerink N M', '105 meter', 'Indische Buurt West']","['Awareness Winkel De', '135 meter', 'Indische Buurt West']","['Internationaal Instituut voor Sociale Geschiedenis', '464 meter', 'Indische Buurt West']"
"['Amsterdam Zuid', '342 meter', 'Station-Zuid WTC en omgeving']","['Samarco Iron Ore Europe BV', '132 meter', 'Station-Zuid WTC en omgeving']","['Food Village WTC', '130 meter', 'Station-Zuid WTC en omgeving']","['Openluchtschool 2e', '692 meter', 'Station-Zuid WTC en omgeving']","['Veldert BSO', '561 meter', 'Station-Zuid WTC en omgeving']","['Nicolaas Lyceum Sint', '288 meter', 'Station-Zuid WTC en omgeving']","['BB180', '203 meter', 'Station-Zuid WTC en omgeving']","['Filmclub Buitenveldert', '1,3 kilometer', 'Station-Zuid WTC en omgeving']","['LKTR', '573 meter', 'Station-Zuid WTC en omgeving']","['Noordermeer Tandartspraktijk', '142 meter', 'Station-Zuid WTC en omgeving']","['Clubsportive Zuidas', '575 meter', 'Station-Zuid WTC en omgeving']","['Praktizijns Sociëteit Bibliotheek', '407 meter', 'Station-Zuid WTC en omgeving']"
"['Amsterdam Lelylaan', '1,1 kilometer', 'Hoofddorppleinbuurt']","['BP Commandeur', '616 meter', 'Hoofddorppleinbuurt']","['Markt Günes A', '341 meter', 'Hoofddorppleinbuurt']","['Nautilus De', '271 meter', 'Hoofddorppleinbuurt']","['Kinderdagverblijf Jurrina', '175 meter', 'Hoofddorppleinbuurt']","['Tobiasschool', '368 meter', 'Hoofddorppleinbuurt']","['Magpie The', '369 meter', 'Hoofddorppleinbuurt']","['Lucky Star Videotheek', '536 meter', 'Hoofddorppleinbuurt']","['Huisartsenpraktijk Westlandgracht', '141 meter', 'Hoofddorppleinbuurt']","['Schreuder W H', '59 meter', 'Hoofddorppleinbuurt']","['IFit Health Station', '504 meter', 'Hoofddorppleinbuurt']","['Praktizijns Sociëteit Bibliotheek', '1,9 kilometer', 'Hoofddorppleinbuurt']"
,,,,,,,,,,,
"['Amsterdam Centraal', '1,6 kilometer', 'Oostelijk Havengebied']","['Texaco Bem BV Selfservice', '3,3 kilometer', 'Oostelijk Havengebied']","['Ahold', '439 meter', 'Oostelijk Havengebied']","['Daltonschool de Kleine Kapitein', '76 meter', 'Oostelijk Havengebied']","['FCCE BV', '591 meter', 'Oostelijk Havengebied']","['Taalbureau Buijtendorp', '334 meter', 'Oostelijk Havengebied']","[""Eitje 't"", '511 meter', 'Oostelijk Havengebied']","['Weng Joeng Hong', '1,6 kilometer', 'Oostelijk Havengebied']","['Zondagdienst', '186 meter', 'Oostelijk Havengebied']","['Sumatrakade Tandartspraktijk', '15 meter', 'Oostelijk Havengebied']","['Fit4Less', '533 meter', 'Oostelijk Havengebied']","['Openbare Bibliotheek Amsterdam', '1,1 kilometer', 'Oostelijk Havengebied']"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
