,Street,Zipcode,current_price,price_per_m2,Type,Construction_year,Living_area,LOT,Plot,Rooms,Bedrooms,treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,caf̩,(huis)arts,tandarts,fitnesscentrum,inhabitants,distribution_fm,population_density,Age_0-15,age_15-25,age_25-45,age_45-65,age_older,indigenous,western_allochtoon,none_western,household,household_single,household_wo_kids,household_with_kids,avg_person_per_household,perc_with_job,high_income,medium_income,low_income,income_avg,social_benefit,neighbourhood
700,Bold Op Overhoeks-beltza 8 1-49 M 2,,333416.0, 6.804,Appartement,2018,49.0,,,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,Terrazza- 3 -kamerappartementen,,260371.0, 4.006,Appartement,2018,65.0,,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,En Bloc Fase 2-5 -kamerappartement 135-183 M 2,,656096.0, 4.101,Appartement,2018,160.0,,,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,De Nieuwe Hendrik- 2 -kamerappartement,,195000.0, 4.535,Appartement,2018,43.0,,,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Hof van Spartaan Appartementen- 4 Kamer Appartementen 131-186 M 2,,570000.0, 4.254,Appartement,2018,134.0,,,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Kinkerstraat 114 2,1053.0,0.0,-,Appartement,1906,24.0,86.0,,2,1,2400.0,566.0,77.0,379.0,158.0,766.0,180.0,228.0,90.0,514.0,5.135,1.0539999999999998,20.353,0.1,0.12,0.48,0.23,0.07,0.57,0.19,0.24,3.375,0.65,0.2,0.15,"1,5",0.72,0.18,0.4,0.42,17.5,0.09,Kinkerbuurt
706,Cornelis van Rijplantsoen 70,1063.0,350000.0, 3.465,Bovenwoning,1995,101.0,292.0,,4,3,1500.0,314.0,253.0,462.0,305.0,562.0,150.0,92.0,341.0,972.0,9.185,1.0629213483146067,9.627,0.2,0.15,0.34,0.21,0.11,0.27,0.1,0.63,4.54,0.51,0.17,0.32,"2,0",0.6,0.1,0.45,0.45,16.2,0.1306,Slotermeer-Noordoost
707,Nicolaas Anslijnstraat 63,1068.0,245000.0, 2.988,Maisonette,1964,82.0,,,4,3,1800.0,315.0,138.0,569.0,330.0,490.0,447.0,375.0,65.0,335.0,15.105,0.905993690851735,9.515,0.14,0.13,0.27,0.22,0.23,0.46,0.11,0.43,8.175,0.52,0.25,0.23,"1,8",0.65,0.14,0.43,0.43,16.9,0.0707,Osdorp-Oost
708,Orteliusstraat 182-hs,1057.0,325000.0, 6.250,Benedenwoning,1927,52.0,185.0,,2,1,1700.0,249.0,113.0,497.0,124.0,541.0,32.0,265.0,192.0,364.0,10.02,0.9782823297137215,25.57,0.14,0.11,0.47,0.19,0.08,0.44,0.15,0.41,6.0,0.61,0.19,0.2,"1,6",0.69,0.12,0.48,0.4,16.9,0.1107,Hoofdweg en omgeving
709,"Adrianus van Waertweg 41, 1035 SE Amsterdam",1035.0,375000.0, 3.261,Eengezinswoning,1991,115.0,368.0,105.0,4,-,4700.0,500.0,1100.0,318.0,125.0,1800.0,1200.0,691.0,839.0,279.0,2.9,0.9141914191419143,2.166,0.17,0.11,0.23,0.34,0.15,0.77,0.1,0.13,1.26,0.27,0.33,0.4,"2,3",0.75,0.21,0.37,0.42,18.3,0.0207,Kadoelen
710,Omval 59,1096.0,499000.0, 6.160,Appartement,1997,81.0,,,3,2,209.0,765.0,836.0,591.0,378.0,294.0,76.0,87.0,421.0,246.0,2.01,,,0.04,0.42,0.35,0.15,0.04,0.63,0.18,0.19,1.48,0.8,0.15,0.06,"1,3",0.67,0.28,0.16,0.56,24.7,0.0005,De Omval
711,Raphaelplein 39,1077.0,1750000.0, 7.000,Hoekwoning,1932,250.0,877.0,100.0,6,4,966.0,795.0,440.0,383.0,382.0,363.0,633.0,91.0,130.0,520.0,8.165,0.8791714614499425,9.239,0.18,0.11,0.29,0.27,0.16,0.65,0.27,0.08,4.105,0.47,0.25,0.28,"2,0",0.71,0.55,0.23,0.22,38.8,0.0005,Apollobuurt
712,Bolestein 626,1081.0,399000.0, 4.290,Appartement,1960,93.0,288.0,,4,2,,,,,,,,,,,12.165,0.8459787556904401,3.378,0.11,0.1,0.28,0.23,0.27,0.61,0.22,0.17,7.27,0.59,0.24,0.18,"1,6",0.71,0.28,0.4,0.32,23.2,0.0208,
713,Koninginneweg 134 Iv,1075.0,595000.0, 7.532,Penthouse,1912,79.0,258.0,,2,1,,,,,,,,,,,5.235,0.9885931558935362,8.225,0.19,0.1,0.35,0.26,0.1,0.64,0.26,0.1,2.675,0.5,0.22,0.28,"2,0",0.74,0.44,0.28,0.28,33.3,0.020499999999999997,
714,Rondeel 90,1083.0,425000.0, 4.087,Appartement,1987,104.0,,,3,2,1200.0,589.0,225.0,196.0,540.0,471.0,524.0,190.0,107.0,799.0,7.105,0.7987341772151898,3.866,0.09,0.09,0.24,0.24,0.34,0.62,0.22,0.16,4.025,0.59,0.25,0.16,"1,6",0.66,0.3,0.38,0.32,23.6,0.0305,Buitenveldert-Oost
715,Tretjakovlaan 6,1064.0,425000.0, 4.830,Appartement,2000,88.0,,,-,-,939.0,414.0,484.0,346.0,470.0,522.0,505.0,586.0,373.0,618.0,16.495,0.9236151603498542,7.029,0.19,0.13,0.28,0.22,0.18,0.39,0.12,0.49,7.815,0.46,0.23,0.31,"2,1",0.65,0.16,0.45,0.39,17.7,0.09,Slotervaart
716,H. Diesveldsingel 43,1060.0,375000.0, 3.151,Tussenwoning,1998,119.0,419.0,119.0,4,3,3200.0,1200.0,305.0,145.0,299.0,1200.0,779.0,231.0,160.0,1200.0,14.995,0.9782321899736147,7.345,0.21,0.14,0.28,0.29,0.09,0.52,0.12,0.36,6.03,0.3,0.24,0.47,"2,5",0.74,0.26,0.43,0.31,20.8,0.030899999999999997,Middelveldsche Akerpolder en Sloten
717,Frederik Hendrikplantsoen 17 I,1052.0,0.0,-,Bovenwoning,1896,45.0,172.0,,2,1,,,,,,,,,,,7.825,1.0,22.079,0.1,0.1,0.45,0.25,0.09,0.6,0.19,0.21,5.065,0.66,0.19,0.15,"1,5",0.73,0.18,0.42,0.4,18.3,0.0806,
718,Veluwseweg 0 Ong,,219500.0, 2.927,Recreatiewoning,2017,75.0,155.0,999.0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,Dirk van Hasseltssteeg 51,1012.0,950000.0, 12.500,Woning,1645,76.0,433.0,40.0,5,3,533.0,1300.0,83.0,339.0,119.0,52.0,48.0,147.0,108.0,91.0,4.47,1.4032258064516128,7.268,0.06,0.17,0.51,0.21,0.05,0.53,0.27,0.2,3.35,0.75,0.18,0.06,"1,3",0.71,0.28,0.36,0.36,21.8,0.0203,Burgwallen-Nieuwe Zijde
720,"Landsmeerderdijk 34, 1035 PW Amsterdam",1035.0,495000.0, 5.156,Vrijstaande woning,1999,96.0,400.0,96.0,4,3,4100.0,874.0,869.0,426.0,343.0,1500.0,759.0,587.0,658.0,1000.0,2.9,0.9141914191419143,2.166,0.17,0.11,0.23,0.34,0.15,0.77,0.1,0.13,1.26,0.27,0.33,0.4,"2,3",0.75,0.21,0.37,0.42,18.3,0.0207,Kadoelen
721,H Gerhardstraat 134,,200000.0, 3.390,Appartement,2012,59.0,195.0,,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,"Stuurmankade 284, 1019 WD Amsterdam",1019.0,825000.0, 5.851,Tussenwoning,1998,141.0,495.0,141.0,5,4,1700.0,1600.0,847.0,393.0,132.0,1100.0,82.0,558.0,655.0,859.0,17.75,1.0367183017785429,11.717,0.2,0.08,0.39,0.29,0.04,0.62,0.16,0.22,8.775,0.43,0.25,0.33,"2,0",0.8,0.4,0.37,0.23,24.8,0.0408,Oostelijk Havengebied
723,Van Hogendorpstraat 141 -ii,1051.0,250000.0, 6.098,Bovenwoning,1902,41.0,125.0,,2,1,1900.0,894.0,217.0,81.0,55.0,289.0,74.0,210.0,269.0,809.0,11.92,1.0135135135135136,25.329,0.13,0.1,0.45,0.25,0.07,0.55,0.18,0.27,7.45,0.64,0.17,0.18,"1,6",0.74,0.17,0.44,0.39,18.0,0.0909,Staatsliedenbuurt
724,"Gerrit van der Veenstraat 93, 1077 DT Amsterdam",1077.0,1800000.0, 7.792,Herenhuis,1937,231.0,870.0,159.0,9,7,1100.0,716.0,746.0,62.0,412.0,129.0,650.0,273.0,131.0,341.0,8.165,0.8791714614499425,9.239,0.18,0.11,0.29,0.27,0.16,0.65,0.27,0.08,4.105,0.47,0.25,0.28,"2,0",0.71,0.55,0.23,0.22,38.8,0.0005,Apollobuurt
725,"Prinsengracht 1083 T-o, 1017 JH Amsterdam",1017.0,650000.0, 9.028,Vrijstaande woning,1999,72.0,217.0,70.0,3,1,1800.0,1500.0,277.0,202.0,211.0,588.0,64.0,227.0,121.0,310.0,4.235,1.1552162849872774,9.978,0.1,0.12,0.38,0.28,0.12,0.63,0.28,0.09,2.71,0.64,0.23,0.13,"1,6",0.72,0.41,0.27,0.32,31.4,0.010700000000000001,Grachtengordel-Zuid
726,"Jan Vrijmanstraat 6, 1087 MC Amsterdam",1087.0,565000.0, 3.979,Tussenwoning,2008,142.0,483.0,143.0,7,6,2300.0,2300.0,387.0,464.0,154.0,3600.0,2000.0,354.0,52.0,295.0,3.66,0.921259842519685,4.518,0.3,0.1,0.46,0.11,0.03,0.46,0.11,0.43,1.565,0.39,0.16,0.45,"2,3",0.78,,,,,0.0701,IJburg Zuid
727,Kinkerstraat 246 -b,1053.0,475000.0, 5.938,Appartement,1989,80.0,230.0,,3,2,,,,,,,,,,,5.135,1.0539999999999998,20.353,0.1,0.12,0.48,0.23,0.07,0.57,0.19,0.24,3.375,0.65,0.2,0.15,"1,5",0.72,0.18,0.4,0.42,17.5,0.09,
728,Van Noordtkade 152,1013.0,275000.0, 5.189,Woonboot,1985,53.0,,,2,-,1700.0,1300.0,297.0,205.0,139.0,588.0,499.0,471.0,191.0,405.0,9.69,0.9876923076923078,7.143,0.13,0.11,0.4,0.26,0.09,0.51,0.15,0.34,5.6,0.6,0.18,0.22,"1,7",0.67,0.1,0.44,0.46,15.9,0.1404,Spaarndammer- en Zeeheldenbuurt
729,Ekingenstraat 254,1069.0,249000.0, 3.276,Bovenwoning,1962,76.0,225.0,,3,-,2500.0,864.0,445.0,324.0,211.0,592.0,79.0,162.0,182.0,540.0,13.37,0.9292929292929294,12.505,0.21,0.14,0.36,0.17,0.13,0.27,0.1,0.63,6.23,0.45,0.22,0.33,"2,1",0.63,0.09,0.45,0.46,15.7,0.12029999999999999,Osdorp-Midden
730,Mendes Da Costahof 4,1067.0,174500.0, 4.474,Benedenwoning,1957,39.0,82.0,,2,1,,,,,,,,,,,12.825,1.000780031201248,9.663,0.21,0.16,0.31,0.2,0.11,0.3,0.1,0.6,5.67,0.43,0.2,0.37,"2,2",0.62,0.09,0.45,0.46,15.5,0.1107,
731,"Randwijkhof 11, 1106 JX Amsterdam",1106.0,350000.0, 2.692,Eengezinswoning,1993,130.0,445.0,135.0,5,4,1300.0,231.0,180.0,319.0,78.0,426.0,460.0,1500.0,354.0,1700.0,18.42,0.8767193071828834,7.084,0.19,0.15,0.26,0.29,0.12,0.33,0.08,0.59,8.985,0.46,0.18,0.37,"2,0",0.66,0.14,0.48,0.38,17.0,0.1301,Holendrecht en Reigersbos
732,Da Costakade 41 Huis,1052.0,995000.0, 6.589,Benedenwoning,1906,151.0,531.0,,4,3,,,,,,,,,,,4.395,1.0324074074074074,20.263,0.1,0.11,0.45,0.25,0.09,0.65,0.21,0.14,2.84,0.64,0.21,0.15,"1,5",0.75,0.22,0.4,0.38,19.4,0.050499999999999996,
733,"Waddenweg 16, 1025 PV Amsterdam",1025.0,350000.0, 5.303,Eengezinswoning,1931,66.0,319.0,169.0,4,-,,,,,,,,,,,1.905,,11.448,0.13,0.12,0.24,0.32,0.19,0.77,0.09,0.14,945.0,0.39,0.26,0.34,"2,0",0.64,0.07,0.46,0.47,15.2,0.0706,
734,Roerstraat 119 2,1078.0,500000.0, 6.494,Woon-/winkelpand,1930,77.0,,,5,-,922.0,437.0,119.0,220.0,28.0,309.0,192.0,256.0,186.0,640.0,13.705,0.8557887610020312,10.175,0.13,0.11,0.4,0.23,0.13,0.71,0.19,0.1,8.065,0.57,0.22,0.21,"1,7",0.77,0.32,0.39,0.29,22.6,0.03,Scheldebuurt
735,"Meeuwenlaan 19, 1021 HR Amsterdam",1021.0,900000.0, 5.625,Herenhuis,1911,160.0,659.0,173.0,8,-,976.0,2800.0,536.0,212.0,273.0,374.0,109.0,374.0,31.0,1100.0,8.3,1.0231707317073173,7.095,0.18,0.13,0.35,0.25,0.09,0.4,0.11,0.49,4.375,0.54,0.17,0.29,"1,9",0.61,0.08,0.44,0.48,15.3,0.1507,IJplein en Vogelbuurt
736,Entrepothof 34,1019.0,350000.0,,-,1991,79.0,241.0,,3,2,927.0,2400.0,525.0,250.0,232.0,943.0,107.0,192.0,160.0,385.0,17.75,1.0367183017785429,11.717,0.2,0.08,0.39,0.29,0.04,0.62,0.16,0.22,8.775,0.43,0.25,0.33,"2,0",0.8,0.4,0.37,0.23,24.8,0.0408,Oostelijk Havengebied
737,Postjeskade 151 3,1058.0,0.0,-,Appartement,1935,59.0,209.0,,3,2,1200.0,1000.0,180.0,490.0,145.0,602.0,247.0,367.0,100.0,430.0,6.38,0.936267071320182,20.52,0.11,0.13,0.48,0.2,0.08,0.58,0.19,0.23,3.875,0.58,0.24,0.18,"1,6",0.76,0.2,0.41,0.39,18.8,0.0602,Westindische buurt
738,Hemonystraat 1-sous,1074.0,300000.0,-,Bedrijfsruimte,1906,,,94.0,-,-,1700.0,1100.0,606.0,238.0,238.0,534.0,223.0,309.0,91.0,450.0,13.77,1.0294767870302137,21.803,0.1,0.15,0.48,0.22,0.06,0.61,0.21,0.18,9.36,0.69,0.19,0.13,"1,5",0.73,0.22,0.39,0.39,19.8,0.0601,Oude Pijp
739,"Weteringschans 193 B, 1017 XE Amsterdam",1017.0,750000.0, 6.757,Woon-/winkelpand,1927,111.0,355.0,,3,2,2100.0,1200.0,300.0,164.0,268.0,343.0,143.0,25.0,149.0,47.0,6.975,1.0454545454545454,12.587,0.09,0.12,0.43,0.26,0.09,0.64,0.25,0.11,4.62,0.67,0.21,0.13,"1,5",0.73,0.36,0.33,0.31,26.3,0.0209,De Weteringschans
740,Oudezijds Voorburgwal 330 A,1012.0,1650000.0,,-,-,182.0,670.0,,6,4,1100.0,1200.0,205.0,580.0,333.0,436.0,32.0,187.0,158.0,286.0,3.915,1.3513513513513513,11.176,0.06,0.16,0.46,0.26,0.06,0.58,0.27,0.15,2.805,0.72,0.19,0.09,"1,4",0.72,0.22,0.37,0.41,18.9,0.030899999999999997,Burgwallen-Oude Zijde
741,"Govert Flinckstraat 253 I, 1073 BX Amsterdam",1073.0,725000.0, 7.632,Woning,1890,95.0,257.0,,4,2,1700.0,822.0,321.0,283.0,99.0,577.0,35.0,340.0,99.0,446.0,13.77,1.0294767870302137,21.803,0.1,0.15,0.48,0.22,0.06,0.61,0.21,0.18,9.36,0.69,0.19,0.13,"1,5",0.73,0.22,0.39,0.39,19.8,0.0601,Oude Pijp
742,"Mary Zeldenruststraat 75, 1091 DM Amsterdam",1091.0,375000.0, 5.282,Woon-/winkelpand,1988,71.0,216.0,,3,2,1100.0,1700.0,766.0,156.0,197.0,238.0,321.0,148.0,43.0,141.0,10.255,1.019704433497537,14.281,0.13,0.13,0.4,0.27,0.07,0.47,0.15,0.38,6.12,0.62,0.18,0.2,"1,7",0.68,0.14,0.42,0.44,17.2,0.1109,Oosterparkbuurt
743,Groen van Prinstererstraat 2 Hs,1051.0,360000.0, 5.806,Benedenwoning,1906,62.0,,,2,1,2100.0,1100.0,158.0,373.0,200.0,81.0,242.0,245.0,243.0,645.0,11.92,1.0135135135135136,25.329,0.13,0.1,0.45,0.25,0.07,0.55,0.18,0.27,7.45,0.64,0.17,0.18,"1,6",0.74,0.17,0.44,0.39,18.0,0.0909,Staatsliedenbuurt
744,"Nicolaas Anslijnstraat 158, 1068 WZ Amsterdam",1068.0,225000.0, 2.778,Appartement,1964,81.0,257.0,,4,3,1800.0,285.0,161.0,555.0,300.0,465.0,417.0,353.0,40.0,339.0,15.105,0.905993690851735,9.515,0.14,0.13,0.27,0.22,0.23,0.46,0.11,0.43,8.175,0.52,0.25,0.23,"1,8",0.65,0.14,0.43,0.43,16.9,0.0707,Osdorp-Oost
745,"Joan Melchior Kemperstraat 60 Hs, 1051 TT Amsterdam",1051.0,450000.0, 6.250,Appartement,1910,72.0,290.0,,4,2,1900.0,1100.0,22.0,210.0,35.0,240.0,62.0,67.0,73.0,592.0,11.92,1.0135135135135136,25.329,0.13,0.1,0.45,0.25,0.07,0.55,0.18,0.27,7.45,0.64,0.17,0.18,"1,6",0.74,0.17,0.44,0.39,18.0,0.0909,Staatsliedenbuurt
746,"Jan Hanzenstraat 28 3, 1053 SR Amsterdam",1053.0,247500.0, 5.266,Bovenwoning,1912,47.0,,,2,1,2500.0,729.0,280.0,234.0,63.0,769.0,102.0,101.0,216.0,561.0,5.135,1.0539999999999998,20.353,0.1,0.12,0.48,0.23,0.07,0.57,0.19,0.24,3.375,0.65,0.2,0.15,"1,5",0.72,0.18,0.4,0.42,17.5,0.09,Kinkerbuurt
747,"Watergangseweg 1 H, 1023 VK Amsterdam",1023.0,200000.0, 3.571,Benedenwoning,1949,56.0,180.0,,3,-,,,,,,,,,,,3.425,0.8614130434782609,7.986,0.12,0.09,0.22,0.32,0.24,0.8,0.1,0.1,1.84,0.45,0.29,0.26,"1,9",0.67,0.1,0.46,0.44,15.8,0.0507,
748,Amsteldijk 728,1074.0,695000.0, 8.176,Vrijstaande woning,2005,85.0,225.0,95.0,3,2,528.0,1100.0,689.0,490.0,329.0,230.0,198.0,156.0,429.0,272.0,7.805,0.9415422885572141,22.164,0.13,0.12,0.34,0.31,0.11,0.47,0.17,0.36,4.64,0.6,0.18,0.22,"1,7",0.64,0.14,0.41,0.45,17.0,0.1401,Diamantbuurt
749,Fresiastraat 18,1032.0,285000.0, 4.385,Dubbele bovenwoning,1925,65.0,,,-,-,2400.0,2100.0,23.0,545.0,99.0,843.0,439.0,790.0,585.0,2500.0,9.38,0.9872881355932204,7.877,0.17,0.13,0.32,0.26,0.12,0.51,0.09,0.4,4.935,0.51,0.19,0.3,"1,9",0.62,0.07,0.43,0.5,14.9,0.1304,Volewijck
750,John Blankensteinstraat 169 -a,,549000.0,-,Bovenwoning,2017,,385.0,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Nachtwachtlaan 81,1058.0,375000.0, 3.827,Appartement,1972,98.0,,,3,2,,,,,,,,,,,10.475,0.9839015151515151,7.2,0.21,0.19,0.33,0.18,0.1,0.26,0.09,0.65,4.75,0.49,0.19,0.33,"2,2",0.6,0.13,0.42,0.45,16.5,0.1208,
752,"Oostzanerdijk 92, 1035 RG Amsterdam",1035.0,400000.0, 3.333,Eengezinswoning,1900,120.0,330.0,544.0,3,-,,,,,,,,,,,8.715,0.9453125,3.556,0.19,0.13,0.27,0.27,0.14,0.64,0.1,0.26,3.905,0.36,0.24,0.4,"2,2",0.73,0.2,0.44,0.36,17.9,0.050499999999999996,
753,Keizersgracht 812,1017.0,559000.0, 3.803,Woonboot,1005,147.0,,,3,-,1600.0,1700.0,202.0,183.0,195.0,656.0,146.0,363.0,148.0,254.0,4.235,1.1552162849872774,9.978,0.1,0.12,0.38,0.28,0.12,0.63,0.28,0.09,2.71,0.64,0.23,0.13,"1,6",0.72,0.41,0.27,0.32,31.4,0.010700000000000001,Grachtengordel-Zuid
754,Beethovenstraat 143 3,1077.0,475000.0, 6.333,Woon-/winkelpand,1956,75.0,,,3,-,573.0,345.0,357.0,588.0,361.0,184.0,91.0,413.0,323.0,697.0,1.25,,1.067,0.16,0.1,0.27,0.25,0.22,0.63,0.25,0.12,715.0,0.59,0.2,0.21,"1,8",0.73,0.59,0.27,0.14,37.3,0.0,Station-Zuid WTC en omgeving
755,Gouden Leeuw 316,,150000.0, 2.778,Appartement,1974,54.0,169.0,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Korte Leidsedwarsstraat 45 Iii,1017.0,350000.0, 6.364,Bovenwoning,1870,55.0,150.0,,3,2,1900.0,675.0,44.0,620.0,247.0,314.0,6.0,252.0,217.0,41.0,6.975,1.0454545454545454,12.587,0.09,0.12,0.43,0.26,0.09,0.64,0.25,0.11,4.62,0.67,0.21,0.13,"1,5",0.73,0.36,0.33,0.31,26.3,0.0209,De Weteringschans
757,Herengracht 101 Hs,1015.0,650000.0, 7.738,Benedenwoning,-,84.0,291.0,,4,1,678.0,1200.0,169.0,145.0,42.0,230.0,76.0,71.0,173.0,222.0,6.805,1.133228840125392,13.56,0.09,0.12,0.38,0.3,0.11,0.62,0.3,0.08,4.495,0.65,0.23,0.12,"1,5",0.69,0.44,0.26,0.3,30.2,0.01,Grachtengordel-West
758,Marnixstraat 214 D,1016.0,315000.0, 6.300,Bovenwoning,1900,50.0,211.0,,2,1,,,,,,,,,,,18.92,1.0420939017808957,22.632,0.09,0.1,0.39,0.3,0.11,0.65,0.23,0.12,12.825,0.69,0.18,0.13,"1,4",0.72,0.26,0.37,0.37,21.0,0.0601,
759,Spadinalaan 5,1031.0,825000.0,,-,2010,148.0,499.0,,4,3,,,,,,,,,,,9.38,0.9872881355932204,7.877,0.17,0.13,0.32,0.26,0.12,0.51,0.09,0.4,4.935,0.51,0.19,0.3,"1,9",0.62,0.07,0.43,0.5,14.9,0.1304,
760,Ringvaartdijk 52,1066.0,589000.0, 3.366,Woonboot,2005,175.0,400.0,1.0,5,3,3400.0,321.0,1400.0,696.0,87.0,1900.0,86.0,773.0,431.0,371.0,14.995,0.9782321899736147,7.345,0.21,0.14,0.28,0.29,0.09,0.52,0.12,0.36,6.03,0.3,0.24,0.47,"2,5",0.74,0.26,0.43,0.31,20.8,0.030899999999999997,Middelveldsche Akerpolder en Sloten
761,Minervalaan 89 2,1077.0,995000.0, 7.007,Woon-/winkelpand,1900,142.0,,,7,-,686.0,489.0,487.0,407.0,439.0,456.0,310.0,239.0,170.0,744.0,8.165,0.8791714614499425,9.239,0.18,0.11,0.29,0.27,0.16,0.65,0.27,0.08,4.105,0.47,0.25,0.28,"2,0",0.71,0.55,0.23,0.22,38.8,0.0005,Apollobuurt
762,Loodskotterhof 157,1034.0,335000.0, 3.190,Tussenwoning,1978,105.0,388.0,102.0,4,3,3100.0,1200.0,455.0,415.0,504.0,1500.0,478.0,336.0,317.0,1900.0,12.51,0.9201841903300078,7.553,0.21,0.12,0.26,0.25,0.15,0.43,0.09,0.48,5.675,0.43,0.21,0.37,"2,2",0.63,0.11,0.46,0.43,16.4,0.1007,Banne Buiksloot
763,"Ijburglaan 856, 1087 GE Amsterdam",1087.0,825000.0, 3.667,Hoekwoning,2003,225.0,899.0,225.0,7,5,,,,,,,,,,,11.67,0.985531914893617,10.148,0.34,0.07,0.42,0.14,0.02,0.54,0.11,0.35,4.445,0.3,0.18,0.53,"2,6",0.81,0.37,0.4,0.23,23.4,0.05,
764,Reggestraat 13-3,1078.0,375000.0, 5.282,Bovenwoning,1925,71.0,252.0,,4,3,,,,,,,,,,,5.035,0.9254302103250477,19.6,0.12,0.11,0.41,0.25,0.11,0.59,0.19,0.22,3.145,0.61,0.2,0.19,"1,6",0.72,0.21,0.39,0.4,20.0,0.0707,
765,Veembroederhof 143,1019.0,400000.0, 5.556,Appartement,2006,72.0,253.0,,3,2,1700.0,3200.0,371.0,385.0,326.0,405.0,841.0,365.0,74.0,285.0,17.75,1.0367183017785429,11.717,0.2,0.08,0.39,0.29,0.04,0.62,0.16,0.22,8.775,0.43,0.25,0.33,"2,0",0.8,0.4,0.37,0.23,24.8,0.0408,Oostelijk Havengebied
766,Meer en Vaart 176,1068.0,300000.0, 3.371,Appartement,2008,89.0,,,3,2,2100.0,1000.0,319.0,406.0,157.0,1100.0,390.0,205.0,400.0,175.0,15.105,0.905993690851735,9.515,0.14,0.13,0.27,0.22,0.23,0.46,0.11,0.43,8.175,0.52,0.25,0.23,"1,8",0.65,0.14,0.43,0.43,16.9,0.0707,Osdorp-Oost
767,Biesboschstraat 16 I,1078.0,475000.0, 6.690,Woon-/winkelpand,1930,71.0,,,3,-,1100.0,496.0,354.0,302.0,151.0,376.0,270.0,84.0,65.0,570.0,13.705,0.8557887610020312,10.175,0.13,0.11,0.4,0.23,0.13,0.71,0.19,0.1,8.065,0.57,0.22,0.21,"1,7",0.77,0.32,0.39,0.29,22.6,0.03,Scheldebuurt
768,Weerdestein 78,1083.0,420000.0, 3.784,Appartement,1968,111.0,,,3,2,,,,,,,,,,,7.105,0.7987341772151898,3.866,0.09,0.09,0.24,0.24,0.34,0.62,0.22,0.16,4.025,0.59,0.25,0.16,"1,6",0.66,0.3,0.38,0.32,23.6,0.0305,
769,"Winterstraat 14, 1109 BE Amsterdam",1109.0,250000.0, 3.289,Eengezinswoning,1964,76.0,315.0,146.0,4,3,,,,,,,,,,,1.51,,,0.19,0.11,0.23,0.32,0.15,0.85,0.08,0.07,630.0,0.28,0.31,0.41,"2,4",0.78,0.23,0.48,0.29,19.9,0.0103,
770,Nieuwezijds Voorburgwal 169,1012.0,245000.0, 8.448,Appartement,1870,29.0,,29.0,1,-,927.0,999.0,282.0,685.0,235.0,321.0,41.0,393.0,197.0,227.0,4.47,1.4032258064516128,7.268,0.06,0.17,0.51,0.21,0.05,0.53,0.27,0.2,3.35,0.75,0.18,0.06,"1,3",0.71,0.28,0.36,0.36,21.8,0.0203,Burgwallen-Nieuwe Zijde
771,Bloemgracht 63 V,1016.0,2121500.0, 9.600,Dubbele bovenwoning,1850,221.0,,,6,4,1400.0,565.0,230.0,373.0,157.0,385.0,52.0,77.0,119.0,161.0,18.92,1.0420939017808957,22.632,0.09,0.1,0.39,0.3,0.11,0.65,0.23,0.12,12.825,0.69,0.18,0.13,"1,4",0.72,0.26,0.37,0.37,21.0,0.0601,Jordaan
772,Van Breestraat 26 -huis,1071.0,975000.0,-,Benedenwoning,1898,,567.0,,3,2,2000.0,1000.0,440.0,300.0,54.0,565.0,126.0,236.0,66.0,200.0,11.31,0.9357876712328768,8.905,0.16,0.11,0.31,0.28,0.15,0.67,0.25,0.08,6.26,0.56,0.22,0.22,"1,8",0.72,0.48,0.25,0.27,33.9,0.0104,Museumkwartier
773,Herengracht 248 -f,1016.0,995000.0, 6.297,Bovenwoning,1960,158.0,474.0,,5,-,,,,,,,,,,,6.805,1.133228840125392,13.56,0.09,0.12,0.38,0.3,0.11,0.62,0.3,0.08,4.495,0.65,0.23,0.12,"1,5",0.69,0.44,0.26,0.3,30.2,0.01,
774,"Keizersgracht 355, 1016 EJ Amsterdam",1016.0,1980000.0, 9.474,Grachtenpand,1705,209.0,,41.0,7,-,,,,,,,,,,,6.805,1.133228840125392,13.56,0.09,0.12,0.38,0.3,0.11,0.62,0.3,0.08,4.495,0.65,0.23,0.12,"1,5",0.69,0.44,0.26,0.3,30.2,0.01,
775,"Breughelstraat 8 2, 1077 LC Amsterdam",1077.0,1350000.0, 7.031,Woning,1927,192.0,678.0,112.0,8,6,,,,,,,,,,,8.165,0.8791714614499425,9.239,0.18,0.11,0.29,0.27,0.16,0.65,0.27,0.08,4.105,0.47,0.25,0.28,"2,0",0.71,0.55,0.23,0.22,38.8,0.0005,
