Street,Zipcode,Price,Broker
Singel 11 G,1012 VC, 409.000,Hans Kok
Leeuwendalersweg 767,1061 BK, 374.000,+31 Vastgoed
Postjeskade 149 Iii,1058 DN, 525.000,ouwehand van der meijden makelaars
Oudezijds Voorburgwal 266 E,1012 GL, 600.000,Makelaardij Hendriks B.V.
Sam van Houtenstraat 187 A,1067 JG, 285.000,ERA Van de Steege  Amsterdam-Centrum
Oogststraat 8 Hs,1097 ZT, 300.000,Makelaardij Hendriks B.V.
Nieuw Amsterdams Wonen-appartementen,na, 490.602,Niki
Beethovenstraat 11 Iii,1077 HL, 1.250.000,Voogd Makelaardij B.V.
Ladogameerhof 113,1060 RE, 275.000,Makelaardij Hendriks B.V.
Grote Ruwenberg 28 Iii,1083 BS, 350.000,Magneet Makelaars B.V.
Govert Flinckstraat 378 H,1074 CH, 529.000,Dé Beheermakelaar
Nicolaas Anslijnstraat 164,1068 WZ, 250.000,Makelaardij Hendriks B.V.
Spadinalaan 54 + 2 Pp,1031 KB, 750.000,Makelaardij Hendriks B.V.
Randwijkhof 11,na, 350.000,Makelaardij Hendriks B.V.
Jan de Jonghkade 39,1063 MH, 365.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Cas Oorthuyskade 298,1087 DP, 350.000,Hallie & van Klooster Makelaardij
Prinsengracht 483 C,1016 HP, 795.000,Van Maarschalkerwaart Makelaardij B.V.
Antony Moddermanstraat 86,1063 LS, 200.000,Makelaardij Hendriks B.V.
Boutenburg 237,1068 ZE, 225.000,Makelaardij Hendriks B.V.
Jephtastraat 65 Iv,1055 JS, 250.000,Makelaardij Hendriks B.V.
Tussen Meer 274,1069 DX, 225.000,Makelaardij Hendriks B.V.
Carry Pothuis-smitstraat 23,1069 RC, 299.000,De Huizenbemiddelaar Amsterdam 2
Willemsstraat 43-45,1015 HW, 2.795.000,Hoogveste B.V.
Veerstraat 71 Iii,1075 SP, 275.000,Francis Helmig makelaardij
Rengerskerkestraat 26,1069 HV, 350.000,Makelaardij Hendriks B.V.
Aart van der Leeuwstraat 7,1064 BT, 350.000,Your Home Makelaardij
Eastonstraat 198,1068 JG, 250.000,Regio Makelaars
Tweede Constantijn Huygensstraat 55 Hoog,1054 CR, 950.000,Makelaardij De Nederlanden B.V.
Dierenriem 132,1033 AJ, 215.000,de Haas Makelaars
Amsterdam E O 0 Ong,1000    Am, 68.000,Wijkhuizen makelaars
Saffierstraat 102,1074 GZ, 325.000,Bijleveld Makelaardij O.G.
Wijenburg 131,1082 VR, 315.000,Henk Burger Makelaardij og B.V.
Ijburglaan 745 +pp,1087 CH, 500.000,Amsterdam at Home Makelaars
Bergmolen 49 +pp,1035 BC, 274.011,11 Makelaars B.V.
Javastraat 72 I,1094 HL, 375.000,Makelaardij Hendriks B.V.
H Gerhardstraat 20,1069 TD, 225.000,HR Makelaars
