Zipcode,current_price,price_per_m2,times_in_sales,Type,Construction_year,Living_area,LOT,Plot,Rooms,Bedrooms,treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,café,(huis)arts,tandarts,fitnesscentrum,bibliotheek,inhabitants,distribution_fm,population_density,Age_0-15,age_15-25,age_25-45,age_45-65,age_older,indigenous,western_allochtoon,none_western,household,household_single,household_wo_kids,household_with_kids,avg_person_per_household,perc_with_job,high_income,medium_income,low_income,income_avg,social_benefit
1025.0,350000.0, 4.667,14 dagen,Eengezinswoning,1931,75.0,290.0,76.0,4,3,2400.0,2700.0,774.0,685.0,22.0,290.0,387.0,605.0,718.0,1900.0,2300.0,1.905,,11.448,0.13,0.12,0.24,0.32,0.19,0.77,0.09,0.14,945.0,0.39,0.26,0.34,"2,0",0.64,0.07,0.46,0.47,15.2,0.0706
1068.0,175000.0, 3.302,Nieuw,Appartement,1968,53.0,147.0,,2,1,,,,,,,,,,,,15.105,0.905993690851735,9.515,0.14,0.13,0.27,0.22,0.23,0.46,0.11,0.43,8.175,0.52,0.25,0.23,"1,8",0.65,0.14,0.43,0.43,16.9,0.0707
1069.0,300000.0, 3.896,15 dagen,Eengezinswoning,1964,77.0,365.0,108.0,4,3,,,,,,,,,,,,5.185,0.9383177570093458,8.696,0.18,0.13,0.29,0.23,0.18,0.43,0.13,0.44,2.45,0.48,0.21,0.31,"2,0",0.63,0.11,0.45,0.44,16.4,0.0906
1018.0,600000.0, 4.918,11 dagen,Bovenwoning,2005,122.0,,,5,4,,,,,,,,,,,,12.615,1.0224538893344026,12.311,0.13,0.13,0.34,0.32,0.08,0.57,0.18,0.25,7.55,0.6,0.18,0.21,"1,7",0.68,0.21,0.41,0.38,19.3,0.0901
1069.0,1135000.0, 4.577,2 maanden,Villa,1939,248.0,955.0,589.0,8,5,3500.0,566.0,801.0,461.0,421.0,1500.0,450.0,139.0,318.0,911.0,5500.0,14.995,0.9782321899736147,7.345,0.21,0.14,0.28,0.29,0.09,0.52,0.12,0.36,6.03,0.3,0.24,0.47,"2,5",0.74,0.26,0.43,0.31,20.8,0.030899999999999997
1071.0,1750000.0, 6.863,20 dagen,Bovenwoning,1901,255.0,,,7,5,1800.0,624.0,664.0,507.0,35.0,313.0,160.0,74.0,25.0,341.0,1500.0,11.31,0.9357876712328768,8.905,0.16,0.11,0.31,0.28,0.15,0.67,0.25,0.08,6.26,0.56,0.22,0.22,"1,8",0.72,0.48,0.25,0.27,33.9,0.0104
1025.0,645000.0, 5.759,14 dagen,Woning,1910,112.0,455.0,104.0,4,3,2300.0,2800.0,797.0,551.0,117.0,419.0,262.0,738.0,588.0,1800.0,2200.0,1.685,,4.458,0.23,0.1,0.25,0.32,0.1,0.81,0.15,0.04,655.0,0.24,0.28,0.47,"2,6",0.77,0.41,0.33,0.26,24.3,0.0005
1083.0,229000.0, 5.205,Nieuw,Bovenwoning,1963,44.0,147.0,,2,1,1400.0,444.0,512.0,465.0,830.0,206.0,979.0,481.0,349.0,1100.0,2200.0,7.105,0.7987341772151898,3.866,0.09,0.09,0.24,0.24,0.34,0.62,0.22,0.16,4.025,0.59,0.25,0.16,"1,6",0.66,0.3,0.38,0.32,23.6,0.0305
1018.0,799000.0, 5.748,Nieuw,Bovenwoning,2001,139.0,406.0,,3,2,796.0,2100.0,426.0,428.0,420.0,539.0,243.0,399.0,64.0,833.0,1200.0,12.615,1.0224538893344026,12.311,0.13,0.13,0.34,0.32,0.08,0.57,0.18,0.25,7.55,0.6,0.18,0.21,"1,7",0.68,0.21,0.41,0.38,19.3,0.0901
1068.0,225000.0, 3.000,Nieuw,Appartement,1987,75.0,223.0,,3,2,,,,,,,,,,,,15.105,0.905993690851735,9.515,0.14,0.13,0.27,0.22,0.23,0.46,0.11,0.43,8.175,0.52,0.25,0.23,"1,8",0.65,0.14,0.43,0.43,16.9,0.0707
