Street,Zipcode,Price,Broker
Banstraat 50 Ii,1071 KB, 1.585.000,BrinkBorgh Makelaardij
Ijplein 232,1021 LR,325,RE/MAX PRO
Osdorper Ban 987 +pp,1069 GA,265,RE/MAX PRO
Blankenstraat 187 F,1018 RZ,495,Isaak Makelaardij o.g. B.V.
Sarphatistraat 141 B,1018 GD,533,Thoma Post Makelaar Amsterdam
Keizersgracht 365 K,1016 EJ,875,Dstrct Amsterdam
Commelinstraat 468,1093 VD,315,RE/MAX PRO
Commelinstraat 486,1093 VD,315,RE/MAX PRO
Emmastraat 22,1075 HV, 4.450.000,Van Maarschalkerwaart Makelaardij B.V.
Spadinalaan 33,1031 KB,515,Hallie & van Klooster Makelaardij
Brouwersgracht 105 3,1015 GD,595,Hard To Get B.V.
Hertspieghelweg 74-hs,1055 KS,325,Scholten Vastgoed B.V.
Van der Palmkade 123,1051 RH,500,Hallie & van Klooster Makelaardij
Van der Palmkade 123 +pp,1051 RH,545,Hallie & van Klooster Makelaardij
Veldzicht 63 + Pp,1068 SM,235,Nieuw West Makelaardij Onroerende Zaken B.V.
Amstelveenseweg 611 A + Pp,1081 JD,495,Thoma Post Makelaar Amsterdam
Loenermark 199,1025 ST,225,Makelaardij Hendriks B.V.
Bernissestraat 14 D,1079 ZW,749,Makelaarsland
De Lairessestraat 68 3,1071 PE, 1.500.000,Aemestelle Makelaars B.V.
Langswater 764,1069 EG,199.5,ERA Van de Steege  Amsterdam-Centrum
Prinsengracht 145 B,1015 DR, 1.500.000,Van Maarschalkerwaart Makelaardij B.V.
Admiralengracht 271 -iii,1056 DZ,325,Makelaardij Hendriks B.V.
Jan Evertsenstraat 629,1061 XZ,385,Your Home Makelaardij
Derkinderenstraat 49 R,1062 DA,300,Makelaardij Hendriks B.V.
Plantage Muidergracht 157 Hs,1018 TT, 1.450.000,Dstrct Amsterdam
Koninginneweg 185 3,1075 CP,599,Jaap Admiraal Makelaardij B.V.
Bennebroekstraat 36 H,1058 LM,450,Peters & van der Vloodt b.v.
Nieuwe Prinsengracht 18 Ii,1018 XJ,530,Francis Helmig makelaardij
Rustenburgerstraat 406,1072 HH, 1.675.000,Makelaardij De Nederlanden B.V.
Carolina Macgillavrylaan 560,1098 XB,479,Makelaarsland
Ijburglaan 819,1087 CL,425,Linger OG
Hendrik de Bruynstraat 20 1,1065 EE,275,Scholten Vastgoed B.V.
Jan Olphert Vaillantlaan 83 B,1086 XZ,590,Makelaarsland
Zuiderzeepark 24,1024 MG,285,ERA Van de Steege  Amsterdam-Centrum
Pieter van der Werfstraat 203,1067 EM,275,Nieuw West Makelaardij Onroerende Zaken B.V.
Tussen Meer 202,1069 DW,225,Makelaardij Hendriks B.V.
Ijburglaan 1453,1087 KH,375,Hallie & van Klooster Makelaardij
Dierenriem 94,1033 AH,240,De Huizenbemiddelaar Amsterdam 2
Beysterveld 159,1083 KC,670,C. Hoen Dzn c.v.
Jephtastraat 53 1,1055 JS,250,De Oude Stad Makelaardij
Frans van Mierisstraat 29 3,1071 RJ, 1.595.000,Voogd Makelaardij B.V.
Prinsengracht 211 C,1015 DT, 1.445.000,Dstrct Amsterdam
Jisperveldstraat 234,1024 AL,225,Linger OG
Balatonmeerlaan 3,1060 RD,550,RE/MAX PRO
Eerste Atjehstraat 111 3,1094 KG,495,DÌ© Beheermakelaar
Jesse Owenshof 37,1034 WT,335,Makelaardij Hendriks B.V.
Makassarstraat 46 2,1095 TA,270,Thoma Post Makelaar Amsterdam
Thomas A Kempisstraat 10,1064 LV,290,JLG Real Estate B.V.
Sarphatistraat 60 E,1018 GP,400,Makelaardij De Nederlanden B.V.
Spadinalaan 6,1031 KB,630,Hallie & van Klooster Makelaardij
Van Oldenbarneveldtplein 11 Hs,1052 JL,875,Hallie & van Klooster Makelaardij
Jeltje de Bosch Kemperpad 115,1054 PJ,369,Makelaardij o.g. Willemspark
Rombout Hogerbeetsstraat 4 3,1052 XA,595,Isaak Makelaardij o.g. B.V.
Korte Geuzenstraat 11 Iii,1056 KR,400,Makelaardij Hendriks B.V.
Perseusstraat 4,1033 XG,274.511,11 Makelaars B.V.
Overtoom 34 2,1054 HK,799.011,11 Makelaars B.V.
Kuinderstraat 19 Hs,1079 DH,375,Amstel Makelaardij o.g.
Knollendamstraat 175 Huis,1013 TM,750,Keizerskroon Makelaars
Leiduinstraat 20 1,1058 SK,350,Wijkhuizen makelaars
Oostelijke Handelskade 1199,1019 DN,525,Makelaarsbalie
Brouwersgracht 105 G,1015 GD,519,Hans Kok
Olympiakade 35 -iii,1076 XT,325,Alice Bakker Makelaardij O.G.
Rooseveltlaan 129 2,1079 AJ,585,Francis Helmig makelaardij
Kerkstraat 261 1,1017 GW, 1.095.000,Makelaardij De Nederlanden B.V.
Plantage Doklaan 38,1018 CN, 1.295.000,Makelaarskantoor Draijer
Ben Viljoenstraat 29,1091 XS,300,Makelaardij Hendriks B.V.
Burg Cramergracht 74,1064 AG,215,Makelaardij Hendriks B.V.
Oosterpark 51,1092 AP,775,Geldhof Makelaardij o.g.
Van Ostadestraat 62 1,1072 TA,325,Amstelland Makelaars
Sportstraat 37-3,1076 TR,375,Amsterdam at Home Makelaars
Lindengracht 239 H,1015 KH,625,ERA Van de Steege  Amsterdam-Centrum
Reizigersweg 35,1033 WD,225,Makelaardij Hendriks B.V.
Amsterdam E O 0 Ong,na,68,Wijkhuizen makelaars
Ceintuurbaan 205 3,1074 CV,450,Henk Burger Makelaardij og B.V.
Fagelstraat 68 1,1052 GG,275,Makelaardij Hendriks B.V.
Delistraat 36 H,1094 CX,375,DOEN Makelaars & Taxateurs B.V.
Dirk Bonsstraat 12 Hs,1063 TZ,285,Jaap Admiraal Makelaardij B.V.
Roompotstraat 14hs,1078 KV,739,Lengers Housing
"Van der Boechorststraat 34, 1081 BT Amsterdam",1081 BT, 1.890.000,BNV Makelaars
De Egmondenstraat 17,1024 RS,200,ERA Van de Steege  Amsterdam-Centrum
Willem Frederik Hermansstraat 47,1011 DG,425,Makelaardij Hendriks B.V.
Burg Hogguerstraat 335,1064 CR,200,Makelaardij Hendriks B.V.
Lizzy Ansinghstraat 8,1072 RD,345,Hallie & van Klooster Makelaardij
Waalstraat 170 Iii,1079 EH,319,Makelaarsland
Osdorpplein 75,1068 EK,350,Makelaarsland
Hofwijckstraat 104,1055 GJ,750,Makelaardij Hendriks B.V.
Graaf Florisstraat 25 3,1091 TE,600,Amsterdam at Home Makelaars
Johannes Vermeerstraat 53 3,1071 DM, 1.250.000,Amsterdam at Home Makelaars
Ben van Meerendonkstraat 10,1087 LE,475,ERA Van de Steege  Amsterdam-Centrum
Turnerstraat 11 Hs,1076 VA,275,Collectief makelaars
Tweede Wittenburgerdwarsstraat 9,1018 LP,420,Belle Makelaardij
Czaar Peterstraat 3 -c,1018 NW,295,Francis Helmig makelaardij
Jan den Haenstraat 38 E,1055 WG,275,Hallie & van Klooster Makelaardij
Keizersgracht 709 I,1017 DW,715,Makelaardij o.g. Willemspark
Rustenburgerstraat 386-iii,1072 HG,265,Thoma Post Makelaar Amsterdam
Jan den Haenstraat 22 A,1055 WE,550,Hallie & van Klooster Makelaardij
Admiraal de Ruijterweg 144 3,1056 GV,425,Your Home Makelaardij
Kerkstraat 78 C,1017 GN,825,Dstrct Amsterdam
Camperstraat 16 1,1091 AE,450,Peters & van der Vloodt b.v.
Beemsterstraat 503,1024 BE,450,ERA Van de Steege  Amsterdam-Centrum
Joubertstraat 17 3,1091 XN,399,Makelaardij o.g. Willemspark
Nieuwe Herengracht 23 3,1011 RL,400,Linger OG
Admiraal de Ruijterweg 297 Iii,1055 LW,340,Beekman Makelaardij o/g B.V.
Admiralengracht 68 3,1057 GB,325,Henk Burger Makelaardij og B.V.
Baden Powellweg 85,1069 LC,249,+31 Vastgoed
Singel 31,1012 VC, 1.900.000,Van Maarschalkerwaart Makelaardij B.V.
Asingaborg 135,1082 SH,335,van der Linden Lelystad
Johan Huizingalaan 298 2,1065 JN,250,Steijn & Steijn Makelaars
Veembroederhof 209,1019 HD,600,RE/MAX PRO
Van Boetzelaerstraat 69 Iii,1051 EA,525,Van Maarschalkerwaart Makelaardij B.V.
Abebe Bikilalaan 39,1034 WL,275,Makelaardij Hendriks B.V.
Achillesstraat 94 Iii,1076 RH,400,JLG Real Estate B.V.
Joos Banckersplantsoen 31 +pp,1056 LC,600,Amsterdam at Home Makelaars
Marjoleinstraat 183,1034 DT,550,Mie-Lan Kok Estate Agency
Scheepstimmermanstraat 6,1019 WX, 1.049.000,ERA Van de Steege  Amsterdam-Centrum
Mensinge 27,1083 HB,725,Keizerskroon Makelaars
Burgemeester Cramergracht 60,1064 AE,250,Makelaardij Hendriks B.V.
Baarsjesweg 182,1057 HR,325,Hallie & van Klooster Makelaardij
Jan den Haenstraat 20 C,1055 WE,550,Hallie & van Klooster Makelaardij
Jan den Haenstraat 22 D,1055 WE,300,Hallie & van Klooster Makelaardij
Jan den Haenstraat 20 B,1055 WE,300,Hallie & van Klooster Makelaardij
Korte Koningsstraat 29,1011 EZ,449,BrinkBorgh Makelaardij
Arent Janszoon Ernststraat 7,1083 GP,485,Jacobus Recourt B.V.
Frieslandstraat 1,1082 TK,290,C. Hoen Dzn c.v.
Maassluisstraat 52,1062 GD,275,Makelaardij Hendriks B.V.
Jacques Veltmanstraat 81 + Pp,1065 EG,580,Francis Helmig makelaardij
Pieter Oosterhuisstraat 81,1087 HT,345,Geldhof Makelaardij o.g.
Bartholomeus Diazstraat 14 Ii,1057 TB,269,Aardenhout Makelaardij
Hemonystraat 13 Hs,1074 BL, 1.730.000,Makelaarsland
Orteliusstraat 146 2,1057 BH,289,Noort Makelaars
Bloemstraat 96,1016 LG,825,Hallie & van Klooster Makelaardij
Rozengracht 55iii,1016 LS,575,Dstrct Amsterdam
Admiraal de Ruijterweg 349 Ii,1055 MA,375,Amstelland Makelaars
Hugo de Grootplein 13 2,1052 KV,289,Thoma Post Makelaar Amsterdam
Jan den Haenstraat 22 C,1055 WE,300,Hallie & van Klooster Makelaardij
Jan den Haenstraat 22 E,1055 WE,289,Hallie & van Klooster Makelaardij
Reguliersdwarsstraat 46 A,1017 BM,795,Dstrct Amsterdam
Bos en Lommerweg 348,1061 DJ,400,Linger OG
Aalsmeerweg 52 I,1059 AL,340,BrinkBorgh Makelaardij
Utrechtsedwarsstraat 107 1,1017 WD,355,Makelaarsland
Iepenweg 43 E,1091 JL,465,Collectief makelaars
Gouden Leeuw 316,1103 KG,150,Linger OG
Van Karnebeekstraat 12,1067 RK,400,RE/MAX PRO
Nassaukade 75 Iii&iv,1052 CS,899,PC22
Sint Jacobsstraat 1 C,1012 NC,350,JLG Real Estate B.V.
President Allendelaan 113,1068 VM,439,Makelaarsland
