treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,café,videotheek,(huis)arts,tandarts,fitnesscentrum,bibliotheek
"['Amsterdam Muiderpoort', '1,7 kilometer']","['Shell Station Kriterion', '1,7 kilometer']","['C 1000 Het IJ', '744 meter']","['Achthoek Basisschool De', '302 meter']","['Little Guest House', '173 meter']","['LUCA Praktijkschool', '1,2 kilometer']","['Café Cees', '183 meter']","['Movie MAX Moviestores', '1,3 kilometer']","['Huisartsenpraktijk Oostkaap De', '584 meter']","['Rijkse Tandartspraktijk', '624 meter']","['Personal Best', '743 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '709 meter']"
"['Amsterdam Centraal', '1,1 kilometer']","['Texaco Bem BV Selfservice', '2,1 kilometer']","['Amstelicious', '512 meter']","['Witte Olifant Openbare Basisschool De', '216 meter']","['Elfenbankje Het', '155 meter']","['Metis Montessori Lyceum', '1,1 kilometer']","['Café Waterlooplein 77', '138 meter']","['Weng Joeng Hong', '720 meter']","['Huisarts mw B G M Grooff', '507 meter']","['M. El Jurdi', '109 meter']","['Fit For Free Amsterdam', '83 meter']","['IHLIA LGBT heritage', '690 meter']"
"['Amsterdam Zuid', '334 meter']","['Samarco Iron Ore Europe BV', '179 meter']","['Food Village WTC', '168 meter']","['Openluchtschool 2e', '597 meter']","['Veldert BSO', '467 meter']","['Amsterdam International Community School', '203 meter']","['BB180', '283 meter']","['Filmclub Buitenveldert', '1,3 kilometer']","['LKTR', '544 meter']","['Tas I', '162 meter']","['Clubsportive Zuidas', '568 meter']","['Praktizijns Sociëteit Bibliotheek', '316 meter']"
,,,,,,,,,,,
"['Amsterdam Centraal', '4,5 kilometer']","['Total Selfservicestation Kadoelen', '983 meter']","['Van der Velde & Eveleens VOF', '647 meter']","['Twiske Openbare Basisschool', '230 meter']","['Maheshvari Zorg en Welzijn', '224 meter']","['Praktijkcollege Noord', '1,3 kilometer']","['Kadoelen Café Koffiehuis', '1,1 kilometer']","['Eurocorner', '780 meter']","['Huisartsenpraktijk Molenwijk', '372 meter']","['Govers M biologisch tandarts', '918 meter']","['Play-Fit', '734 meter']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '1,7 kilometer']"
"['Amsterdam Zuid', '1,8 kilometer']","['Hobbemakade Shell Station', '1,2 kilometer']","['Organic Food For You', '56 meter']","['2e Dalton Basisschool', '436 meter']","['Partou', '139 meter']","['Joke Smit College Vavo (ROC Van Amsterdam)', '547 meter']","['Waldeck', '147 meter']","['Filmclub Videotheek Overtoom', '972 meter']","['Nijhof huisarts R', '320 meter']","['EviDental', '101 meter']","['Urban Wellness Concepts BV', '381 meter']","['Praktizijns Sociëteit Bibliotheek', '1,6 kilometer']"
"['Amsterdam Lelylaan', '4,8 kilometer']","['Demarol Zwanenburg BV', '1,2 kilometer']","['Albert Heijn', '1,3 kilometer']","['Achtbaan Daltonschool De', '1,1 kilometer']","['Berendijk Kinderdagverblijf De', '980 meter']","['Calandlyceum', '3,5 kilometer']","['Herberg Café De', '1,3 kilometer']","['Filmclub Videotheek Zwanenburg', '1,5 kilometer']","['Heeneman Huisarts E P', '1,2 kilometer']","['Gouw T S', '961 meter']","['Fitnesscentrum Zwanenburg', '2,1 kilometer']","['Bibliotheek Spaarndam', '7,2 kilometer']"
"['Amsterdam Lelylaan', '1,7 kilometer']","['BP Commandeur', '1,3 kilometer']","['Jumbo Supermarkten BV', '298 meter']","['ABC Het', '311 meter']","['Apenstaartje BSO', '20 meter']","['ABC Het', '311 meter']","['Overtoom Café', '231 meter']","['Filmclub Videotheek Overtoom', '269 meter']","['Stapes', '198 meter']","['E.A.S. Tandarts', '218 meter']","['Brightside Fitness & Fysiotherapie', '208 meter']","['Boekmanstichting Bibliotheek', '2,1 kilometer']"
"['Amsterdam Muiderpoort', '1,1 kilometer']","['Mobil Station Zeist', '1,9 kilometer']","['Spar Van Kempen', '747 meter']","['Denken staat vrij', '39 meter']","[""Linda's Kindervreugde"", '397 meter']","['Metis Montessori Lyceum', '258 meter']","['Crea Café BV', '247 meter']","['Twin Film', '200 meter']","['Sieben Holtrop Huisartsen', '501 meter']","['Soffner Tandarts C', '231 meter']","['Care4Fit intermediair in bedrijfsfitness', '493 meter']","['Openbare Bibliotheek Amsterdam', '1,4 kilometer']"
"['Amsterdam Lelylaan', '2,2 kilometer']","['Texaco Bem BV Selfservice', '1,2 kilometer']","['Concy.nl', '554 meter']","['Bredeschool Kinkerbuurt De', '443 meter']","['Tamara Kinderopvang', '137 meter']","['ABC Het', '619 meter']","['Café De Bron', '179 meter']","['Asian Music Palace', '549 meter']","['Gezondheidscentrum Helmersstraat SAG', '317 meter']","['Mechteld van den Bosch', '131 meter']","['Family Gym The', '578 meter']","['Boekmanstichting Bibliotheek', '1,6 kilometer']"
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Lelylaan', '2,0 kilometer']","['Texaco Bem BV Selfservice', '1,3 kilometer']","['Concy.nl', '591 meter']","['Bredeschool Kinkerbuurt De', '368 meter']","['Tamara Kinderopvang', '134 meter']","['ABC Het', '372 meter']","['Café De Bron', '94 meter']","['Asian Music Palace', '342 meter']","['Wijngaarden Huisartsenpraktijk D van', '202 meter']","['Heukensfeldt Jansen', '92 meter']","['Family Gym The', '343 meter']","['Boekmanstichting Bibliotheek', '1,8 kilometer']"
"['Amsterdam Lelylaan', '2,0 kilometer']","['Texaco Bem BV Selfservice', '1,3 kilometer']","['Concy.nl', '591 meter']","['Bredeschool Kinkerbuurt De', '368 meter']","['Tamara Kinderopvang', '134 meter']","['ABC Het', '372 meter']","['Café De Bron', '94 meter']","['Asian Music Palace', '342 meter']","['Wijngaarden Huisartsenpraktijk D van', '202 meter']","['Heukensfeldt Jansen', '92 meter']","['Family Gym The', '343 meter']","['Boekmanstichting Bibliotheek', '1,8 kilometer']"
"['Amsterdam Centraal', '730 meter']","['Texaco Bem BV Selfservice', '1,4 kilometer']","['Abou Elkhair VOF', '294 meter']","['Burght Openbare Basisschool', '214 meter']","['Mijn Blokje', '216 meter']","['Amsterdamsche School De', '502 meter']","['Tabac', '84 meter']","['Weng Joeng Hong', '971 meter']","['Groot Huisartsenpraktijk', '188 meter']","['Valiente Dental Care', '289 meter']","['Fitness First Amsterdam', '552 meter']","['Bibliotheca Philosophica Hermetica', '820 meter']"
"['Amsterdam Centraal', '1,9 kilometer']","['Texaco Bem BV Selfservice', '500 meter']","['Leidseplein Market', '146 meter']","['Jordaan 14e Montessorischool', '504 meter']","['Tante Beest', '59 meter']","['Barlaeusgymnasium', '487 meter']","['Belgisch Bierproeflokaal De Zotte', '60 meter']","['Asian Music Palace', '1,3 kilometer']","['Eijkeren H van Heusden van en Scheper M', '244 meter']","['Laaken F vd', '100 meter']","['Fitnesscentrum Healthclub Amsterdam BV', '190 meter']","['Boekmanstichting Bibliotheek', '522 meter']"
"['Amsterdam Muiderpoort', '658 meter']","['Mobil Station Zeist', '913 meter']","['Cappadocia', '135 meter']","['Watergraafsmeerse Schoolvereniging Dependance De Kraal', '279 meter']","['Telraam Kinderdagverblijf BSO', '121 meter']","['Montessori College Oost', '262 meter']","['Ruk en Pluk Café', '295 meter']","['Telion Entertainment Videotheek', '810 meter']","['Huisartsenpraktijk Hogeweg J J Baars en A Wouters huisartsen', '232 meter']","['Tandartspraktijk Watergraafsmeer', '177 meter']","['Ultimate Fitness Amsterdam', '785 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '1,6 kilometer']"
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Sloterdijk', '1,5 kilometer']","['Esso Station FCA', '972 meter']","['Supermarket van Bos en Lommerweg', '154 meter']","['Narcis - Querido Openbare Basisschool', '360 meter']","['Groeibos Het Kinderdagverblijf', '127 meter']","['Maria Nguyen', '922 meter']","[""Binnepretje 't"", '140 meter']","['Platebank BV', '1,1 kilometer']","['Huisarts Leijssen H J H', '304 meter']","['Amazon Art', '115 meter']","['Vries Fitnesscentrum Fysio Sport T A de', '458 meter']","['Bibliotheca Philosophica Hermetica', '1,9 kilometer']"
"['Abcoude', '2,2 kilometer']","['BP Autorette Gaasperdam', '786 meter']","['C 1000 Voordeelmarkt', '589 meter']","['Dumontschool Prof dr J J', '329 meter']","['Gastouderopvang- Cornelly', '69 meter']","['Reigersbos Scholengemeenschap', '700 meter']","['Joint Us', '1,4 kilometer']","['Milan Videotheek', '3,3 kilometer']","['Huisartsenprakt Baden N O Tamminga P S en Linden A J H vd', '2,2 kilometer']","['Kraan Tandarts M I A van der', '354 meter']","[""M's Fitness"", '1,5 kilometer']","[""Russ Boekenclub voor kinderen 'Zajka-Zna"", '8,2 kilometer']"
"['Amsterdam Lelylaan', '3,4 kilometer']","['Demarol Badhoevedrop', '1,7 kilometer']","['Oz Derya BV', '390 meter']","['Punt Openbare Basisschool De', '74 meter']","['Voorschool Punt De', '74 meter']","['Calandlyceum', '1,5 kilometer']","['De Kroon Party & Events', '505 meter']","['Filmclub Videotheek Osdorp', '763 meter']","['Gezondheidscentrum De Vaart SAG', '694 meter']","['Duman Tandarts', '295 meter']","['Ladies Gym Osdorp', '1,3 kilometer']","['Praktizijns Sociëteit Bibliotheek', '6,0 kilometer']"
,,,,,,,,,,,
"['Amsterdam Centraal', '1,3 kilometer']","['Texaco Bem BV Selfservice', '1,7 kilometer']","['Amstelicious', '22 meter']","['Hulpjuf.nl', '271 meter']","['Baboffel Kinderdagverblijf', '397 meter']","['Luzac College Amsterdam', '844 meter']","[""Hooischip Café 't"", '5 meter']","['Weng Joeng Hong', '909 meter']","['Huisartsenpraktijk Zwanenburgwal', '286 meter']","['Hortus Tandartspraktijk De', '187 meter']","['Fitness First Nederland BV', '170 meter']","['Zeemanshoop Koninklijk College', '595 meter']"
"['Amsterdam Centraal', '1,1 kilometer']","['Texaco Bem BV Selfservice', '3,0 kilometer']","['Al Iman Supermarkt', '396 meter']","['Vogelnest Openbare Basisschool Het', '349 meter']","['Vogelnest BSO Het', '129 meter']","['De nieuwe Havo', '183 meter']","['Spreeuw Café De', '102 meter']","['Weng Joeng Hong', '1,4 kilometer']","['Huisartsenpraktijk J Nederhof', '374 meter']","['Berghuis D', '208 meter']","['Barbizon Palace Health Club', '1,3 kilometer']","['Toonkunst-Bibliotheek', '1,1 kilometer']"
"['Amsterdam Centraal', '804 meter']","['Texaco Bem BV Selfservice', '1,9 kilometer']","['China Town Supermarkt', '340 meter']","['Witte Olifant Openbare Basisschool De', '152 meter']","['Femmy en Sacha Naschoolse Opvang', '152 meter']","['Amsterdamsche School De', '887 meter']","['Fonteyn Café', '241 meter']","['Weng Joeng Hong', '407 meter']","['Bruijne C de', '332 meter']","['Atlas Tandheelkundige Kliniek', '251 meter']","['Panatta Gym Fitnesscentrum', '10 meter']","['Toonkunst-Bibliotheek', '541 meter']"
"['Amsterdam Centraal', '1,3 kilometer']","['Texaco Bem BV Selfservice', '1,2 kilometer']","['Supermarkt Amstel VOF', '26 meter']","['Hulpjuf.nl', '350 meter']","['Baboffel Kinderdagverblijf', '404 meter']","['Art of Colors Opleidingen', '465 meter']","['Amstel Fifty Four', '83 meter']","['Weng Joeng Hong', '962 meter']","['Oude Turfmarkt Huisartsenpraktijk', '99 meter']","['Studentist Amsterdam', '94 meter']","['Fit2Fit Sports and Healthclub', '211 meter']","['Zeemanshoop Koninklijk College', '93 meter']"
"['Amsterdam Centraal', '2,2 kilometer']","['Texaco Bem BV Selfservice', '1,1 kilometer']","['Aboudi', '256 meter']","['Cornelis Vrijschool', '326 meter']","['Little Universe School BV', '305 meter']","['Barlaeusgymnasium', '190 meter']","['Cobra Café', '180 meter']","['Filmclub Cinemagic', '1,1 kilometer']","['WHAM', '287 meter']","['Elena Urdarianu Mondhygiënist', '134 meter']","['Amsterdam Fitness en Health Club', '418 meter']","['Boekmanstichting Bibliotheek', '795 meter']"
,,,,,,,,,,,
"['Amsterdam Zuid', '1,8 kilometer']","['Hobbemakade Shell Station', '524 meter']","['Superstar Market', '723 meter']","['Montessorischool De Wielewaal 1e', '537 meter']","['Zorg voor Kind en Huis', '133 meter']","['Montessori Lyceum Amsterdam (mavo)', '229 meter']","['Wildschut Café Restaurant', '71 meter']","['Filmclub Cinemagic', '661 meter']","['Schulte M', '134 meter']","['Bold R vd', '123 meter']","['Urban Wellness Concepts BV', '464 meter']","['Boekmanstichting Bibliotheek', '1,6 kilometer']"
"['Amsterdam Lelylaan', '861 meter']","['Texaco Tankstation Autowascentrum Hansa', '785 meter']","['Golden Vandaag BV', '225 meter']","['Notenkraker Openbare Basisschool De', '797 meter']","['Nannysu', '70 meter']","['Tobiasschool', '704 meter']","['Rooseboom Café De', '454 meter']","['Sloterplas Cinema Super Videotheek De', '945 meter']","['Delflandplein Huisartsenpraktijk', '229 meter']","['C.P. Pen Tandarts', '52 meter']","['HealthCity', '528 meter']","['Praktizijns Sociëteit Bibliotheek', '2,4 kilometer']"
"['Amsterdam Lelylaan', '2,5 kilometer']","['Texaco Bem BV Selfservice', '725 meter']","['De Volkskruidentuin', '320 meter']","['Binnen De Ring Amsterdam West', '248 meter']","['Kikkert BSO', '16 meter']","['Marcanti College', '746 meter']","['Kwaker Café De', '142 meter']","['Super Videotheek De Sloterplas', '548 meter']","['Kuynders H M', '117 meter']","['Tandartspraktijk De Clercqstraat', '176 meter']","['Pilatesworks', '543 meter']","['Bibliotheca Philosophica Hermetica', '1,3 kilometer']"
"['Amsterdam Muiderpoort', '932 meter']","['Shell Station Kriterion', '1,9 kilometer']","['Ennassr Superette', '354 meter']","['Flevoparkschool Dep', '52 meter']","['Winnie The Pooh', '61 meter']","['LUCA Praktijkschool', '65 meter']","['Badhuis Café Restaurant Het', '310 meter']","['Movie Max Goldmovie Videotheek', '610 meter']","['Swart P', '134 meter']","['Tandartspraktijk Oost', '100 meter']","['Cherine Solutions', '179 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '695 meter']"
"['Amsterdam Zuid', '1,9 kilometer']","['BP Commandeur', '1,2 kilometer']","['Organic Food For You', '129 meter']","['2e Dalton Basisschool', '495 meter']","['Partou', '64 meter']","['Amsterdams Lyceum Het', '611 meter']","['Waldeck', '114 meter']","['Filmclub Videotheek Overtoom', '906 meter']","['Nijhof huisarts R', '377 meter']","['EviDental', '54 meter']","['Urban Wellness Concepts BV', '436 meter']","['Praktizijns Sociëteit Bibliotheek', '1,7 kilometer']"
,,,,,,,,,,,
"['Amsterdam Lelylaan', '1,8 kilometer']","['Tankstation Baarsjes West', '1,3 kilometer']","['CCCP Amsterdam', '394 meter']","['Amsterdam West Binnen De Ring', '233 meter']","['Once Upon', '10 meter']","['ABC Het', '233 meter']","['Overtoom Café', '258 meter']","['Filmclub Videotheek Overtoom', '370 meter']","['Stapes', '235 meter']","['Bakker Dental', '214 meter']","['Brightside Fitness & Fysiotherapie', '303 meter']","['Boekmanstichting Bibliotheek', '2,0 kilometer']"
"['Amsterdam Centraal', '1,8 kilometer']","['Texaco Bem BV Selfservice', '812 meter']","['De Ooijevaar', '148 meter']","['Kleine Reus Openbare Basisschool De', '642 meter']","['Kids & Zo Centrum', '330 meter']","['Barlaeusgymnasium', '320 meter']","['Genootschap der Geneugten Café', '7 meter']","['Weng Joeng Hong', '1,5 kilometer']","['WHAM', '219 meter']","['Jorna Mw J E A', '182 meter']","['Health and Fitness Management BV', '217 meter']","['Boekmanstichting Bibliotheek', '292 meter']"
"['Amsterdam Zuid', '435 meter']","['Samarco Iron Ore Europe BV', '204 meter']","['Food Village WTC', '214 meter']","['British School of Amsterdam', '670 meter']","['Kinderdagverblijf De Liefste', '491 meter']","['Nicolaas Lyceum Sint', '170 meter']","['BB180', '86 meter']","['Filmclub Buitenveldert', '1,4 kilometer']","['Postema en Kolthof Huisartsenpraktijk', '516 meter']","['Noordermeer Tandartspraktijk', '186 meter']","['Clubsportive Zuidas', '653 meter']","['Praktizijns Sociëteit Bibliotheek', '552 meter']"
"['Amsterdam Zuid', '1,6 kilometer']","['BP Commandeur', '774 meter']","['Organic Food For You', '494 meter']","['2e Dalton Basisschool', '338 meter']","['Regenboog Nanny', '344 meter']","['Amsterdams Lyceum Het', '120 meter']","['Waldeck', '390 meter']","['Lucky Star Videotheek', '669 meter']","['Korthals Altes-Levy H R', '269 meter']","['Lassus Tandartsen', '31 meter']","['Personal Healthclub', '513 meter']","['Praktizijns Sociëteit Bibliotheek', '1,3 kilometer']"
"['Amsterdam Lelylaan', '1,4 kilometer']","['BP Commandeur', '353 meter']","['Albert Heijn Supermarkt', '264 meter']","['Notenkraker Openbare Basisschool De', '526 meter']","['Kinderdagverblijf Jurrina', '126 meter']","['Tobiasschool', '430 meter']","['Ome Kees Café', '203 meter']","['Lucky Star Videotheek', '299 meter']","['Evenhuis Drs F W J', '206 meter']","['Bart Jansen Tandarts', '123 meter']","['IFit Health Station', '217 meter']","['Praktizijns Sociëteit Bibliotheek', '1,6 kilometer']"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Lelylaan', '1,8 kilometer']","['Zwarte Pomp BV', '659 meter']","['Imazigen Slager', '284 meter']","['Visserschool Dr J Th de', '117 meter']","['AKROS', '209 meter']","['ABC Het', '490 meter']","['Remana Theehuis', '180 meter']","['Naseeb Videotheek', '271 meter']","['C.A.M.L. Waarnemingen', '170 meter']","['Sowirono Tandartspraktijk C E R', '271 meter']","['Family Gym The', '464 meter']","['Bibliotheca Philosophica Hermetica', '1,9 kilometer']"
"['Amsterdam Muiderpoort', '1,2 kilometer']","['Mobil Station Zeist', '872 meter']","['Cappadocia', '861 meter']","['Katholieke Basisschool Lidwina', '199 meter']","['Lettie Havinga, Gastouder aan Huis', '108 meter']","['Onderwijsstichting Esprit', '372 meter']","[""Elsa's Eetcafé"", '458 meter']","['Movie MAX Moviestores', '1,4 kilometer']","['Gi-Med', '195 meter']","['Tan Drs S P', '154 meter']","['Duofit Fitnesscentrum', '575 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '2,0 kilometer']"
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Amstel', '705 meter']","['Douwes & Van der Sluis BV', '906 meter']","['Albert Heijn', '1,0 kilometer']","['Catharinaschool Sint', '330 meter']","['Kinderdagverblijf Second Home', '184 meter']","['Stelle College', '649 meter']","['River Side Bar', '208 meter']","['Videoland', '1,2 kilometer']","['Groepspraktijk Trompenburg', '270 meter']","['Genç S N', '75 meter']","['Yorbody Ladyfit', '225 meter']","['Theosofische Bibliotheek', '1,2 kilometer']"
"['Amsterdam RAI', '1,6 kilometer']","['Europaboulevard Shell Station', '617 meter']","[""David's Corner"", '943 meter']","['Buitenveldertse Montessorischool (BMS)', '889 meter']","[""Peek-A-Boo's Kinderparadijs"", '1,1 kilometer']","['Joods Bijzonder Onderwijs Stichting JBO', '483 meter']","['Saigon Café Gelderlandplein', '1,4 kilometer']","['Filmclub Buitenveldert', '1,8 kilometer']","['Sandra Derks Huisarts', '861 meter']","['Maragkos Dent', '787 meter']","['VU Sportcentrum', '1,3 kilometer']","['Praktizijns Sociëteit Bibliotheek', '2,6 kilometer']"
"['Amsterdam Centraal', '428 meter']","['Texaco Bem BV Selfservice', '1,4 kilometer']","['City Supermarkt VOF', '67 meter']","['Burght Openbare Basisschool', '244 meter']","['Montris 30 BV', '274 meter']","['Amsterdamsche School De', '128 meter']","['London Bridge English Pub', '67 meter']","['Weng Joeng Hong', '554 meter']","['Berenschot Huisarts M A', '132 meter']","['Negem Dental', '159 meter']","['Fitness First Amsterdam', '136 meter']","['Bibliotheca Philosophica Hermetica', '866 meter']"
"['Amsterdam Zuid', '1,8 kilometer']","['Hobbemakade Shell Station', '941 meter']","['Organic Food For You', '250 meter']","['2e Dalton Basisschool', '498 meter']","['Willem Sparkje Kinderdagverblijf', '305 meter']","['Joke Smit College Vavo (ROC Van Amsterdam)', '354 meter']","['King Arthur', '192 meter']","['Filmclub Cinemagic', '1,2 kilometer']","['Grannetia P M Huisarts', '26 meter']","['Schaper L E', '64 meter']","['Urban Wellness Concepts BV', '88 meter']","['Boekmanstichting Bibliotheek', '1,6 kilometer']"
"['Amsterdam Zuid', '1,1 kilometer']","['Total Selfservicestation Stadionplein', '328 meter']","['Super Marathon', '379 meter']","['Olympia Openbare Basisschool', '289 meter']","['Odelinde', '183 meter']","['Europaschool Basisschool', '325 meter']","['Dijk Café Bar Petit-Restaurant Charles', '114 meter']","['Lucky Star Videotheek', '950 meter']","['BJR Waarneming', '293 meter']","['Tandartspraktijk Stevens', '166 meter']","['Medico Vision Sports Training BV', '505 meter']","['Praktizijns Sociëteit Bibliotheek', '728 meter']"
"['Amsterdam Amstel', '958 meter']","['Total De Pijp', '1,3 kilometer']","['Poolse Supermarkt en Zo - Poolse Etenswaren', '599 meter']","['Pinksterbloem 4e Montessorischool De', '214 meter']","['Gastouder Copito', '233 meter']","['Metis Montessori Lyceum (AVO)', '238 meter']","['Viersprong Koffiehuis De', '245 meter']","['Movie MAX Moviestores', '461 meter']","['Garretsen H W A J', '224 meter']","['Tandartspraktijk Weesperzijde', '197 meter']","['Kops Sportcentrum', '390 meter']","['Theosofische Bibliotheek', '411 meter']"
"['Amsterdam Centraal', '2,1 kilometer']","['Texaco Bem BV Selfservice', '1,2 kilometer']","['Sen Supermarkt', '203 meter']","['Kleine Reus Openbare Basisschool De', '320 meter']","['Baboffel Baby Kinderdagverblijf', '379 meter']","['Barlaeusgymnasium', '233 meter']","['Hans en Grietje Café', '25 meter']","['Filmclub Cinemagic', '1,1 kilometer']","['Huisartspraktijk De Wetering', '119 meter']","['Amsterdamse Tandartspraktijk Leidseplein', '94 meter']","['Fit For Free Amsterdam Lijnbaansgracht', '471 meter']","['Boekmanstichting Bibliotheek', '664 meter']"
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Zuid', '491 meter']","['Samarco Iron Ore Europe BV', '471 meter']","['Food Village WTC', '454 meter']","['Openluchtschool 2e', '282 meter']","['Veldert BSO', '159 meter']","['Amsterdam International Community School', '134 meter']","['BB180', '583 meter']","['Filmclub Buitenveldert', '1,2 kilometer']","['Dekkers A', '523 meter']","['Evelien Hoedemaker tandarts', '70 meter']","['Clubsportive Zuidas', '675 meter']","['Praktizijns Sociëteit Bibliotheek', '125 meter']"
,,,,,,,,,,,
"['Amsterdam Centraal', '4,0 kilometer']","['Total Selfservicestation Kadoelen', '3,3 kilometer']","['Deka Supermarkt', '172 meter']","['Universum Openbare SBO School', '337 meter']","['Sheike Gastouderopvang', '397 meter']","['Bredero Mavo', '1,4 kilometer']","['Foeders', '301 meter']","['Movie Max Goldmovie Videotheek', '3,9 kilometer']","['Jonker en Koetsier Huisartsenpraktijk', '567 meter']","['Elahi Tandartspraktijk', '401 meter']","['Temple Fitness World The', '676 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '3,3 kilometer']"
,,,,,,,,,,,
"['Amsterdam Centraal', '947 meter']","['Texaco Bem BV Selfservice', '2,2 kilometer']","['China Town Supermarkt', '578 meter']","['Witte Olifant Openbare Basisschool De', '314 meter']","['Lovely Kids BV', '35 meter']","['Amsterdamsche School De', '1,1 kilometer']","['Druif Café De', '223 meter']","['Weng Joeng Hong', '617 meter']","['Huisarts mw B G M Grooff', '509 meter']","['Atlas Tandheelkundige Kliniek', '209 meter']","['Fit For Free Amsterdam', '161 meter']","['Toonkunst-Bibliotheek', '459 meter']"
"['Amsterdam Sloterdijk', '2,9 kilometer']","['Autorette BP Sloterplas', '1,9 kilometer']","['Sefa Market', '263 meter']","['Goeman Borgesiusschool', '145 meter']","['PVO Goeman Borgesius 1', '145 meter']","['Wissel De', '2,1 kilometer']","[""Sanny's Place Café"", '241 meter']","['Sloterplas Cinema Super Videotheek De', '3,0 kilometer']","['Runhert R Huisartsenpraktijk W Busser & J Leeuw', '194 meter']","['Tandartsenpraktijk Fallah', '344 meter']","[""Doel Lady's Only Fitnesscentrum Het"", '263 meter']","['Bibliotheca Philosophica Hermetica', '5,6 kilometer']"
"['Amsterdam Sloterdijk', '2,9 kilometer']","['Autorette BP Sloterplas', '1,9 kilometer']","['Sefa Market', '263 meter']","['Goeman Borgesiusschool', '145 meter']","['PVO Goeman Borgesius 1', '145 meter']","['Wissel De', '2,1 kilometer']","[""Sanny's Place Café"", '241 meter']","['Sloterplas Cinema Super Videotheek De', '3,0 kilometer']","['Runhert R Huisartsenpraktijk W Busser & J Leeuw', '194 meter']","['Tandartsenpraktijk Fallah', '344 meter']","[""Doel Lady's Only Fitnesscentrum Het"", '263 meter']","['Bibliotheca Philosophica Hermetica', '5,6 kilometer']"
,,,,,,,,,,,
"['Amsterdam Lelylaan', '1,7 kilometer']","['Autorette BP Sloterplas', '369 meter']","['Keet BV Supermarkt De', '455 meter']","['Japanese School of Amsterdam The', '600 meter']","['Blije Bij Kinderopvang De', '105 meter']","['Nova College Amsterdam', '97 meter']","['Tanger Café', '806 meter']","['Tetauni Videotheek', '1,2 kilometer']","['GH Waarneming', '20 meter']","['Tandarts Weggelaar', '89 meter']","['MT-Fitness', '577 meter']","['Bibliotheca Philosophica Hermetica', '3,4 kilometer']"
,,,,,,,,,,,
"['Amsterdam Zuid', '1,8 kilometer']","['Europaboulevard Shell Station', '1,3 kilometer']","[""Myrthe's Delight BV"", '366 meter']","['Ark Oecumenische Basisschool De', '438 meter']","['Bambini', '387 meter']","['Stichting Ceder Groep', '266 meter']","['Saigon Café Gelderlandplein', '932 meter']","['Filmclub Buitenveldert', '892 meter']","['Haan Huisarts J H den', '337 meter']","['Arian Vojdani Tandheelkunde', '209 meter']","['VU Sportcentrum', '261 meter']","['Praktizijns Sociëteit Bibliotheek', '2,0 kilometer']"
"['Amsterdam Lelylaan', '929 meter']","['BP Commandeur', '829 meter']","['Markt Günes A', '284 meter']","['Notenkraker Openbare Basisschool De', '51 meter']","['Spring Kinderopvang De', '51 meter']","['Tobiasschool', '548 meter']","['Magpie The', '575 meter']","['Lucky Star Videotheek', '673 meter']","['Huisartsenpraktijk Westlandgracht', '199 meter']","['Ottens Tandartsenpraktijk', '178 meter']","['HealthCity', '380 meter']","['Praktizijns Sociëteit Bibliotheek', '2,1 kilometer']"
,,,,,,,,,,,
"['Amsterdam Muiderpoort', '551 meter']","['Mobil Station Zeist', '2,0 kilometer']","['Mansoor Ahmadi', '76 meter']","['JP Coen Openbare Basisschool', '355 meter']","['Kinderopvang Safari Kids', '78 meter']","['LUCA Praktijkschool', '468 meter']","['Pleinzicht Café', '39 meter']","['Movie MAX Moviestores', '171 meter']","['Staal Huisarts M', '275 meter']","['Westerink N M', '73 meter']","['Akademia Training', '81 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '537 meter']"
"['Amsterdam Centraal', '828 meter']","['Texaco Bem BV Selfservice', '1,7 kilometer']","['Stach BV', '199 meter']","['Witte Olifant Openbare Basisschool De', '179 meter']","['Femmy en Sacha Naschoolse Opvang', '179 meter']","['Amsterdamsche School De', '819 meter']","['Stopera Café', '122 meter']","['Weng Joeng Hong', '412 meter']","['Bruijne C de', '354 meter']","['Greevink Tandartspraktijk', '305 meter']","['Panatta Gym Fitnesscentrum', '151 meter']","['Openbare Bibliotheek Amsterdam', '674 meter']"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
