Street,Zipcode,Price,Broker
Burgemeester Cramergracht 60,1064 AE, 250.000,Makelaardij Hendriks B.V.
Van der Hoopstraat 104 Iii,1051 VM, 325.000,Thoma Post Makelaar Amsterdam
Baarsjesweg 182,1057 HR, 325.000,Hallie & van Klooster Makelaardij
Jan den Haenstraat 20 C,1055 WE, 550.000,Hallie & van Klooster Makelaardij
Jan den Haenstraat 22 D,1055 WE, 300.000,Hallie & van Klooster Makelaardij
Jan den Haenstraat 20 B,1055 WE, 300.000,Hallie & van Klooster Makelaardij
Marjoleinstraat 183,1034 DT, 550.000,Mie-Lan Kok Estate Agency
Arent Janszoon Ernststraat 7,1083 GP, 485.000,Jacobus Recourt B.V.
Scheepstimmermanstraat 6,1019 WX, 1.049.000,ERA Van de Steege  Amsterdam-Centrum
Mensinge 27,1083 HB, 725.000,Keizerskroon Makelaars
Korte Koningsstraat 29,1011 EZ, 449.000,BrinkBorgh Makelaardij
Jacques Veltmanstraat 81 + Pp,1065 EG, 580.000,Francis Helmig makelaardij
Maassluisstraat 52,1062 GD, 275.000,Makelaardij Hendriks B.V.
