Type,Construction_year,Living_area,LOT,Plot,Other,Insulation,Heating,Energy_label,Energy_consumption,inside_maintenance_state,Rooms,Bedrooms,Sanitation,kitchen,outside_maintenace_state,outside_state_painting,Graden,view,Balcony,Garage,number_of_times_shown,number_of_times_shown_yesterday
Appartement,2012,97 m²,296 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,Ja,58,5
Eengezinswoning,2006,134 m²,435 m³,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,Ja,Ja,10,10
Appartement,2013,115 m²,352 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,Ja,1,1
Tussenwoning,1998,119 m²,397 m³,110 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,1.355,18
-,1928,148 m²,499 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,118,4
Appartement,2004,54 m²,177 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,148,9
Bovenwoning,2008,101 m²,-,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,3.722,18
Watertoren,2001,91 m²,-,105 m²,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,919,6
Appartement,1887,93 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,228,6
Appartement,1993,106 m²,336 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,Ja,222,6
Benedenwoning,1998,110 m²,395 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,371,3
Woonboot,1981,48 m²,113 m³,1 m²,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,-,-,1.022,44
Benedenwoning,1920,145 m²,-,97 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,203,9
Woning,1928,110 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,59,19
Bovenwoning,1999,110 m²,338 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,Ja,78,7
Appartement,2006,44 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,58,44
Appartement,2010,98 m²,-,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,10,10
Appartement,2007,108 m²,492 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,Ja,11,11
Tussenwoning,1956,74 m²,252 m³,121 m²,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,-,4,4
