posted_date,current_price,original_price,changes_in_price,price,price_per_m2,times_in_sales
08-06-2018, 199.500, 199.500,-, 199.500, 2.771,12 dagen
18-05-2018, 1.675.000, 1.675.000,-, 1.675.000, 5.154,1 maand
23-05-2018, 530.000, 530.000,-, 530.000, 6.235,28 dagen
01-06-2018, 525.000, 525.000,-, 525.000, 6.563,19 dagen
02-06-2018, 479.000, 484.000," -5.000 / -1,0%", 479.000, 4.888,18 dagen
27-05-2018, 275.000, 275.000,-, 275.000, 3.618,24 dagen
05-06-2018, 1.450.000, 1.450.000,-, 1.450.000,-,15 dagen
15-06-2018, 590.000, 590.000,-, 590.000, 4.436,5 dagen
19-06-2018, 995.000, 995.000,-, 995.000, 8.089,Nieuw
20-06-2018, 225.000, 225.000,-, 225.000, 3.000,Nieuw
25-05-2018, 425.000, 425.000,-, 425.000, 4.087,26 dagen
24-05-2018, 275.000, 275.000,-, 275.000, 3.198,27 dagen
24-04-2018, 225.000, 225.000,-, 225.000, 2.711,1 maand
13-06-2018, 375.000, 375.000,-,,,
19-04-2018, 250.000, 250.000,-, 250.000, 2.841,2 maanden
08-05-2018, 569.500, 569.500,-, 569.500, 4.746,1 maand
02-06-2018, 670.000, 670.000,-, 670.000, 4.497,18 dagen
12-06-2018, 285.000, 285.000,-, 285.000, 3.353,8 dagen
26-02-2018, 290.000, 300.000," -10.000 / -3,3%", 290.000, 3.718,3 maanden
12-04-2018, 550.000, 550.000,-, 550.000, 2.778,2 maanden
17-05-2018, 630.000, 630.000,-, 630.000, 6.429,1 maand
23-05-2018, 240.000, 240.000,-, 240.000, 3.000,28 dagen
01-06-2018, 495.000, 495.000,-, 495.000, 6.266,19 dagen
01-06-2018, 335.000, 335.000,-, 335.000, 3.681,19 dagen
07-06-2018, 875.000, 875.000,-, 875.000, 7.000,13 dagen
12-06-2018, 400.000, 400.000,-, 400.000, 5.333,8 dagen
31-05-2018, 1.595.000, 1.595.000,-, 1.595.000, 8.439,20 dagen
01-06-2018, 274.511, 274.511,-, 274.511, 3.307,19 dagen
05-06-2018, 1.445.000, 1.445.000,-, 1.445.000, 9.146,15 dagen
15-06-2018, 400.000, 400.000,-, 400.000, 4.706,5 dagen
20-06-2018, 425.000, 425.000,-, 425.000, 4.885,Nieuw
20-06-2018, 225.000, 225.000,-, 225.000, 2.647,Nieuw
20-06-2018, 230.000, 230.000,-, 230.000, 2.614,Nieuw
21-04-2018, 595.000, 595.000,-, 595.000, 6.134,2 maanden
15-06-2018, 369.000, 369.000,-, 369.000, 6.150,5 dagen
16-05-2018, 375.000, 375.000,-, 375.000, 6.466,1 maand
09-05-2018, 525.000, 525.000,-, 525.000, 5.250,1 maand
14-05-2018, 585.000, 585.000,-, 585.000, 5.625,1 maand
19-01-2018, 519.000, 585.000," -66.000 / -11,3%", 519.000, 7.110,5 maanden
29-05-2018, 1.095.000, 1.095.000,-, 1.095.000, 8.233,22 dagen
